t_log_iso,t_seconds,src,peer,commodity_id,enc,dec,ack_pending,emit_total,observed_keys_per_s,sdn_rate_keys_per_s,fill_ratio
2026-05-19T00:02:25.689043,0.000000,dkms-736,dkms-739,dkms-736->dkms-739,0,0,0,0,0.0,83.1,0.000000
2026-05-19T00:02:30.688467,4.999424,dkms-736,dkms-739,dkms-736->dkms-739,303,319,0,303,60.6,83.1,0.004623
2026-05-19T00:02:35.688468,9.999425,dkms-736,dkms-739,dkms-736->dkms-739,723,740,0,723,84.0,83.1,0.011032
2026-05-19T00:02:40.688928,14.999885,dkms-736,dkms-739,dkms-736->dkms-739,1135,1171,0,1135,82.4,83.1,0.017319
2026-05-19T00:02:45.689073,20.000030,dkms-736,dkms-739,dkms-736->dkms-739,1546,1593,9,1546,82.2,83.1,0.023590
2026-05-19T00:02:50.688277,24.999234,dkms-736,dkms-739,dkms-736->dkms-739,1966,2015,0,1966,84.0,83.1,0.029999
2026-05-19T00:02:55.688486,29.999443,dkms-736,dkms-739,dkms-736->dkms-739,2386,2445,0,2386,84.0,83.1,0.036407
2026-05-19T00:03:00.689141,35.000098,dkms-736,dkms-739,dkms-736->dkms-739,2795,2876,8,2795,81.8,83.1,0.042648
2026-05-19T00:03:05.688315,39.999272,dkms-736,dkms-739,dkms-736->dkms-739,3215,3298,0,3215,84.0,83.1,0.049057
2026-05-19T00:03:10.689068,45.000025,dkms-736,dkms-739,dkms-736->dkms-739,3627,3719,8,3627,82.4,83.1,0.055344
2026-05-19T00:03:15.688229,49.999186,dkms-736,dkms-739,dkms-736->dkms-739,4055,4158,0,4055,85.6,87.5,0.061874
2026-05-19T00:03:20.688240,54.999197,dkms-736,dkms-739,dkms-736->dkms-739,4489,4602,9,4489,86.8,87.5,0.068497
2026-05-19T00:03:25.689200,60.000157,dkms-736,dkms-739,dkms-736->dkms-739,4932,5055,0,4932,88.6,87.7,0.075256
2026-05-19T00:03:30.689047,65.000004,dkms-736,dkms-739,dkms-736->dkms-739,5366,5498,0,5366,86.8,87.3,0.081879
2026-05-19T00:03:35.688335,69.999292,dkms-736,dkms-739,dkms-736->dkms-739,5804,5954,0,5804,87.6,86.5,0.088562
2026-05-19T00:03:40.688858,74.999815,dkms-736,dkms-739,dkms-736->dkms-739,6238,6408,0,6238,86.8,88.4,0.095184
2026-05-19T00:03:45.688856,79.999813,dkms-736,dkms-739,dkms-736->dkms-739,6618,6643,0,6618,76.0,9.5,0.100983
2026-05-19T00:03:50.688715,84.999672,dkms-736,dkms-739,dkms-736->dkms-739,6669,6698,0,6669,10.2,10.5,0.101761
2026-05-19T00:03:55.688672,89.999629,dkms-736,dkms-739,dkms-736->dkms-739,6732,6766,1,6732,12.6,13.2,0.102722
2026-05-19T00:04:00.688789,94.999746,dkms-736,dkms-739,dkms-736->dkms-739,6813,6847,0,6813,16.2,18.3,0.103958
2026-05-19T00:04:05.688588,99.999545,dkms-736,dkms-739,dkms-736->dkms-739,6915,6946,3,6915,20.4,22.0,0.105515
2026-05-19T00:04:10.688679,104.999636,dkms-736,dkms-739,dkms-736->dkms-739,7078,7109,0,7078,32.6,36.4,0.108002
2026-05-19T00:04:15.688779,109.999736,dkms-736,dkms-739,dkms-736->dkms-739,7258,7298,4,7258,36.0,36.4,0.110748
2026-05-19T00:04:20.689130,115.000087,dkms-736,dkms-739,dkms-736->dkms-739,7442,7484,0,7442,36.8,36.4,0.113556
2026-05-19T00:04:25.688441,119.999398,dkms-736,dkms-739,dkms-736->dkms-739,7622,7674,4,7622,36.0,36.4,0.116302
2026-05-19T00:04:30.688211,124.999168,dkms-736,dkms-739,dkms-736->dkms-739,7806,7859,0,7806,36.8,36.4,0.119110
2026-05-19T00:04:35.688688,129.999645,dkms-736,dkms-739,dkms-736->dkms-739,7986,8049,4,7986,36.0,36.4,0.121857
2026-05-19T00:04:40.689169,135.000126,dkms-736,dkms-739,dkms-736->dkms-739,8170,8235,0,8170,36.8,36.4,0.124664
2026-05-19T00:04:45.688237,139.999194,dkms-736,dkms-739,dkms-736->dkms-739,8350,8424,4,8350,36.0,36.4,0.127411
2026-05-19T00:04:50.688561,144.999518,dkms-736,dkms-739,dkms-736->dkms-739,8534,8610,0,8534,36.8,36.4,0.130219
2026-05-19T00:04:55.688509,149.999466,dkms-736,dkms-739,dkms-736->dkms-739,8714,8796,0,8714,36.0,36.4,0.132965
2026-05-19T00:05:00.688306,154.999263,dkms-736,dkms-739,dkms-736->dkms-739,8898,8986,0,8898,36.8,36.4,0.135773
2026-05-19T00:05:05.688356,159.999313,dkms-736,dkms-739,dkms-736->dkms-739,9078,9172,0,9078,36.0,36.4,0.138519
2026-05-19T00:05:10.688911,164.999868,dkms-736,dkms-739,dkms-736->dkms-739,9261,9360,0,9261,36.6,36.0,0.141312
2026-05-19T00:05:15.688726,169.999683,dkms-736,dkms-739,dkms-736->dkms-739,9439,9544,0,9439,35.6,36.0,0.144028
2026-05-19T00:05:20.688305,174.999262,dkms-736,dkms-739,dkms-736->dkms-739,9618,9732,3,9618,35.8,36.0,0.146759
2026-05-19T00:05:25.688685,179.999642,dkms-736,dkms-739,dkms-736->dkms-739,9799,9916,0,9799,36.2,36.0,0.149521
2026-05-19T00:05:30.688897,184.999854,dkms-736,dkms-739,dkms-736->dkms-739,10000,10131,5,10000,40.2,53.0,0.152588
2026-05-19T00:05:35.688398,189.999355,dkms-736,dkms-739,dkms-736->dkms-739,10320,10457,0,10320,64.0,84.5,0.157471
2026-05-19T00:05:40.688257,194.999214,dkms-736,dkms-739,dkms-736->dkms-739,10739,10891,9,10739,83.8,84.5,0.163864
2026-05-19T00:05:45.688533,199.999490,dkms-736,dkms-739,dkms-736->dkms-739,11166,11317,0,11166,85.4,84.3,0.170380
2026-05-19T00:05:50.688884,204.999841,dkms-736,dkms-739,dkms-736->dkms-739,11584,11751,8,11584,83.6,85.3,0.176758
2026-05-19T00:05:55.689064,210.000021,dkms-736,dkms-739,dkms-736->dkms-739,12022,12181,0,12022,87.6,87.1,0.183441
2026-05-19T00:06:00.688145,214.999102,dkms-736,dkms-739,dkms-736->dkms-739,12469,12636,9,12469,89.4,92.2,0.190262
2026-05-19T00:06:05.688498,219.999455,dkms-736,dkms-739,dkms-736->dkms-739,12935,13092,0,12935,93.2,92.2,0.197372
2026-05-19T00:06:10.688173,224.999130,dkms-736,dkms-739,dkms-736->dkms-739,13391,13555,0,13391,91.2,92.2,0.204330
2026-05-19T00:06:15.688311,229.999268,dkms-736,dkms-739,dkms-736->dkms-739,13858,14013,0,13858,93.4,92.2,0.211456
2026-05-19T00:06:20.688232,234.999189,dkms-736,dkms-739,dkms-736->dkms-739,14314,14468,0,14314,91.2,92.2,0.218414
2026-05-19T00:06:25.688184,239.999141,dkms-736,dkms-739,dkms-736->dkms-739,14780,14939,0,14780,93.2,92.7,0.225525
