commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-736->dkms-739,dkms-736,dkms-739,79.432823,825.049358
dkms-736->dkms-742,dkms-736,dkms-742,79.432823,825.049358
dkms-736->dkms-745,dkms-736,dkms-745,291.253686,225.013461
dkms-736->dkms-748,dkms-736,dkms-748,79.432823,825.049358
dkms-736->dkms-751,dkms-736,dkms-751,79.432823,825.049358
dkms-736->dkms-754,dkms-736,dkms-754,185.343255,353.592582
dkms-736->dkms-757,dkms-736,dkms-757,79.432823,825.049358
dkms-736->dkms-760,dkms-736,dkms-760,79.432823,825.049358
dkms-739->dkms-736,dkms-739,dkms-736,79.432823,825.049358
dkms-739->dkms-742,dkms-739,dkms-742,79.432823,825.049358
dkms-739->dkms-745,dkms-739,dkms-745,79.432823,825.049358
dkms-739->dkms-748,dkms-739,dkms-748,291.253686,225.013461
dkms-739->dkms-751,dkms-739,dkms-751,79.432823,825.049358
dkms-739->dkms-754,dkms-739,dkms-754,79.432823,825.049358
dkms-739->dkms-757,dkms-739,dkms-757,185.343255,353.592582
dkms-739->dkms-760,dkms-739,dkms-760,79.432823,825.049358
dkms-742->dkms-736,dkms-742,dkms-736,79.432823,825.049358
dkms-742->dkms-739,dkms-742,dkms-739,79.432823,825.049358
dkms-742->dkms-745,dkms-742,dkms-745,79.432823,825.049358
dkms-742->dkms-748,dkms-742,dkms-748,79.432823,825.049358
dkms-742->dkms-751,dkms-742,dkms-751,291.253686,225.013461
dkms-742->dkms-754,dkms-742,dkms-754,79.432823,825.049358
dkms-742->dkms-757,dkms-742,dkms-757,79.432823,825.049358
dkms-742->dkms-760,dkms-742,dkms-760,185.343255,353.592582
dkms-745->dkms-736,dkms-745,dkms-736,291.253686,225.013461
dkms-745->dkms-739,dkms-745,dkms-739,79.432823,825.049358
dkms-745->dkms-742,dkms-745,dkms-742,79.432823,825.049358
dkms-745->dkms-748,dkms-745,dkms-748,132.388039,495.029615
dkms-745->dkms-751,dkms-745,dkms-751,132.388039,495.029615
dkms-745->dkms-754,dkms-745,dkms-754,185.343255,353.592582
dkms-745->dkms-757,dkms-745,dkms-757,132.388039,495.029615
dkms-745->dkms-760,dkms-745,dkms-760,132.388039,495.029615
dkms-748->dkms-736,dkms-748,dkms-736,79.432823,825.049358
dkms-748->dkms-739,dkms-748,dkms-739,291.253686,225.013461
dkms-748->dkms-742,dkms-748,dkms-742,79.432823,825.049358
dkms-748->dkms-745,dkms-748,dkms-745,132.388039,495.029615
dkms-748->dkms-751,dkms-748,dkms-751,132.388039,495.029615
dkms-748->dkms-754,dkms-748,dkms-754,132.388039,495.029615
dkms-748->dkms-757,dkms-748,dkms-757,185.343255,353.592582
dkms-748->dkms-760,dkms-748,dkms-760,132.388039,495.029615
dkms-751->dkms-736,dkms-751,dkms-736,79.432823,825.049358
dkms-751->dkms-739,dkms-751,dkms-739,79.432823,825.049358
dkms-751->dkms-742,dkms-751,dkms-742,291.253686,225.013461
dkms-751->dkms-745,dkms-751,dkms-745,132.388039,495.029615
dkms-751->dkms-748,dkms-751,dkms-748,132.388039,495.029615
dkms-751->dkms-754,dkms-751,dkms-754,132.388039,495.029615
dkms-751->dkms-757,dkms-751,dkms-757,132.388039,495.029615
dkms-751->dkms-760,dkms-751,dkms-760,185.343255,353.592582
dkms-754->dkms-736,dkms-754,dkms-736,185.343255,353.592582
dkms-754->dkms-739,dkms-754,dkms-739,79.432823,825.049358
dkms-754->dkms-742,dkms-754,dkms-742,79.432823,825.049358
dkms-754->dkms-745,dkms-754,dkms-745,185.343255,353.592582
dkms-754->dkms-748,dkms-754,dkms-748,132.388039,495.029615
dkms-754->dkms-751,dkms-754,dkms-751,132.388039,495.029615
dkms-754->dkms-757,dkms-754,dkms-757,397.164117,165.009872
dkms-754->dkms-760,dkms-754,dkms-760,397.164117,165.009872
dkms-757->dkms-736,dkms-757,dkms-736,79.432823,825.049358
dkms-757->dkms-739,dkms-757,dkms-739,185.343255,353.592582
dkms-757->dkms-742,dkms-757,dkms-742,79.432823,825.049358
dkms-757->dkms-745,dkms-757,dkms-745,132.388039,495.029615
dkms-757->dkms-748,dkms-757,dkms-748,185.343255,353.592582
dkms-757->dkms-751,dkms-757,dkms-751,132.388039,495.029615
dkms-757->dkms-754,dkms-757,dkms-754,397.164117,165.009872
dkms-757->dkms-760,dkms-757,dkms-760,397.164117,165.009872
dkms-760->dkms-736,dkms-760,dkms-736,79.432823,825.049358
dkms-760->dkms-739,dkms-760,dkms-739,79.432823,825.049358
dkms-760->dkms-742,dkms-760,dkms-742,185.343255,353.592582
dkms-760->dkms-745,dkms-760,dkms-745,132.388039,495.029615
dkms-760->dkms-748,dkms-760,dkms-748,132.388039,495.029615
dkms-760->dkms-751,dkms-760,dkms-751,185.343255,353.592582
dkms-760->dkms-754,dkms-760,dkms-754,397.164117,165.009872
dkms-760->dkms-757,dkms-760,dkms-757,397.164117,165.009872
