architecture,test_id,sae_id,slave_sae_id,request_index,emitted_at_epoch,responded_at_epoch,elapsed_seconds,n_keys_requested,n_keys_received,status_code,success,error
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00001,lt-0-4730c4-20260519T052342Z-00000,1,1779168252.725483,1779168252.885302,0.159819,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00000,lt-0-4730c4-20260519T052342Z-00001,2,1779168252.867887,1779168252.940667,0.072780,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00002,lt-0-4730c4-20260519T052342Z-00000,3,1779168252.984048,1779168253.070415,0.086368,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00003,lt-0-4730c4-20260519T052342Z-00002,4,1779168253.242466,1779168253.370521,0.128054,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00004,lt-0-4730c4-20260519T052342Z-00002,5,1779168253.504914,1779168253.570392,0.065479,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00001,lt-0-4730c4-20260519T052342Z-00000,6,1779168253.857651,1779168253.864433,0.006782,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00002,lt-0-4730c4-20260519T052342Z-00000,7,1779168254.125273,1779168254.131882,0.006609,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00000,lt-0-4730c4-20260519T052342Z-00004,8,1779168254.163729,1779168254.170405,0.006676,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00001,lt-0-4730c4-20260519T052342Z-00000,9,1779168254.387578,1779168254.394095,0.006517,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00000,lt-0-4730c4-20260519T052342Z-00002,10,1779168254.582676,1779168254.589921,0.007245,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00000,lt-0-4730c4-20260519T052342Z-00004,11,1779168254.670104,1779168254.675406,0.005302,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00001,lt-0-4730c4-20260519T052342Z-00003,12,1779168254.984240,1779168255.045277,0.061037,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00001,lt-0-4730c4-20260519T052342Z-00004,13,1779168255.403052,1779168255.408309,0.005257,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00001,lt-0-4730c4-20260519T052342Z-00000,14,1779168255.731520,1779168255.739944,0.008424,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00001,lt-0-4730c4-20260519T052342Z-00003,15,1779168255.984981,1779168255.991431,0.006450,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00003,lt-0-4730c4-20260519T052342Z-00001,16,1779168256.038939,1779168256.046770,0.007831,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00003,lt-0-4730c4-20260519T052342Z-00004,17,1779168256.168746,1779168256.175688,0.006942,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00002,lt-0-4730c4-20260519T052342Z-00004,18,1779168256.422901,1779168256.427836,0.004935,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00002,lt-0-4730c4-20260519T052342Z-00001,19,1779168257.279471,1779168257.285303,0.005831,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00004,lt-0-4730c4-20260519T052342Z-00001,20,1779168258.277221,1779168258.282583,0.005363,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00001,lt-0-4730c4-20260519T052342Z-00002,21,1779168258.945693,1779168258.950613,0.004920,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00004,lt-0-4730c4-20260519T052342Z-00003,22,1779168259.522187,1779168259.528589,0.006402,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00003,lt-0-4730c4-20260519T052342Z-00002,23,1779168260.199406,1779168260.206297,0.006891,7,7,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00001,lt-0-4730c4-20260519T052342Z-00000,24,1779168260.394852,1779168260.401238,0.006385,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim54-20260519T052330-4730c4,lt-0-4730c4-20260519T052342Z-00001,lt-0-4730c4-20260519T052342Z-00000,25,1779168260.516175,1779168260.523754,0.007580,3,3,200,true,
