src,peer,commodity_id,samples,max_enc,enc_at_sat,t_first_emit,t_saturated,t_observed_seconds,t_theoretical_seconds,ratio,saturated,theory_rate_keys_per_s,last_sdn_rate_keys_per_s,last_observed_keys_per_s
dkms-850,dkms-853,dkms-850->dkms-853,126,53939,,2026-05-19T05:15:23.459417,,,825.0493578734254,,False,79.43282347242815,88.2,84.8
dkms-850,dkms-856,dkms-850->dkms-856,126,53862,,2026-05-19T05:13:13.459037,,,825.0493578734254,,False,79.43282347242815,88.2,84.6
dkms-850,dkms-859,dkms-850->dkms-859,126,59288,,2026-05-19T05:15:18.458804,,,225.0134612382069,,False,291.2536860655699,109.5,108.4
dkms-850,dkms-862,dkms-850->dkms-862,126,54723,,2026-05-19T05:13:33.459070,,,825.0493578734254,,False,79.43282347242815,109.5,104.2
dkms-850,dkms-865,dkms-850->dkms-865,126,54853,,2026-05-19T05:13:53.458952,,,825.0493578734254,,False,79.43282347242815,109.5,104.0
dkms-850,dkms-868,dkms-850->dkms-868,126,58829,,2026-05-19T05:13:33.459078,,,353.59258194575375,,False,185.34325476899903,120.7,116.0
dkms-850,dkms-871,dkms-850->dkms-871,126,58784,,2026-05-19T05:13:33.459083,,,825.0493578734254,,False,79.43282347242815,120.7,116.0
dkms-850,dkms-874,dkms-850->dkms-874,126,54919,,2026-05-19T05:15:43.458811,,,825.0493578734254,,False,79.43282347242815,109.5,104.2
dkms-853,dkms-850,dkms-853->dkms-850,126,54731,,2026-05-19T05:15:23.396403,,,825.0493578734254,,False,79.43282347242815,109.1,106.2
dkms-853,dkms-856,dkms-853->dkms-856,126,57859,,2026-05-19T05:13:13.396742,,,825.0493578734254,,False,79.43282347242815,109.1,119.8
dkms-853,dkms-859,dkms-853->dkms-859,126,54904,,2026-05-19T05:13:08.396931,,,825.0493578734254,,False,79.43282347242815,109.1,106.4
dkms-853,dkms-862,dkms-853->dkms-862,126,55826,,2026-05-19T05:13:28.396365,,,225.0134612382069,,False,291.2536860655699,109.1,111.4
dkms-853,dkms-865,dkms-853->dkms-865,126,57574,,2026-05-19T05:13:28.396370,,,825.0493578734254,,False,79.43282347242815,109.1,109.0
dkms-853,dkms-868,dkms-853->dkms-868,126,53836,,2026-05-19T05:13:28.396376,,,825.0493578734254,,False,79.43282347242815,88.2,84.6
dkms-853,dkms-871,dkms-853->dkms-871,126,53388,,2026-05-19T05:13:28.396381,,,353.59258194575375,,False,185.34325476899903,88.2,84.6
dkms-853,dkms-874,dkms-853->dkms-874,126,56748,,2026-05-19T05:13:28.396386,,,825.0493578734254,,False,79.43282347242815,99.0,99.4
dkms-856,dkms-850,dkms-856->dkms-850,126,53860,,2026-05-19T05:13:13.458086,,,825.0493578734254,,False,79.43282347242815,88.2,84.6
dkms-856,dkms-853,dkms-856->dkms-853,126,57227,,2026-05-19T05:13:13.458104,,,825.0493578734254,,False,79.43282347242815,99.0,109.8
dkms-856,dkms-859,dkms-856->dkms-859,126,54742,,2026-05-19T05:13:08.458157,,,825.0493578734254,,False,79.43282347242815,111.8,105.6
dkms-856,dkms-862,dkms-856->dkms-862,126,55770,,2026-05-19T05:13:38.458496,,,825.0493578734254,,False,79.43282347242815,111.8,110.2
dkms-856,dkms-865,dkms-856->dkms-865,126,59078,,2026-05-19T05:13:23.458348,,,225.0134612382069,,False,291.2536860655699,111.8,110.2
dkms-856,dkms-868,dkms-856->dkms-868,126,54906,,2026-05-19T05:13:53.458176,,,825.0493578734254,,False,79.43282347242815,111.8,105.0
dkms-856,dkms-871,dkms-856->dkms-871,126,60708,,2026-05-19T05:13:38.458513,,,825.0493578734254,,False,79.43282347242815,125.4,126.0
dkms-856,dkms-874,dkms-856->dkms-874,126,60651,,2026-05-19T05:13:48.458899,,,353.59258194575375,,False,185.34325476899903,125.4,126.0
dkms-859,dkms-850,dkms-859->dkms-850,126,58587,,2026-05-19T05:15:18.396490,,,225.0134612382069,,False,291.2536860655699,99.4,98.6
dkms-859,dkms-853,dkms-859->dkms-853,126,53934,,2026-05-19T05:13:08.396616,,,825.0493578734254,,False,79.43282347242815,88.2,86.4
dkms-859,dkms-856,dkms-859->dkms-856,126,54739,,2026-05-19T05:13:08.396621,,,825.0493578734254,,False,79.43282347242815,111.8,107.4
dkms-859,dkms-862,dkms-859->dkms-862,126,62587,62587,2026-05-19T05:13:28.396109,2026-05-19T05:23:28.396581,600.000472,495.02961472405525,1.212049651482889,True,132.3880391207136,0.0,156.0
dkms-859,dkms-865,dkms-859->dkms-865,126,54954,,2026-05-19T05:13:53.396156,,,495.02961472405525,,False,132.3880391207136,130.6,115.6
dkms-859,dkms-868,dkms-859->dkms-868,126,62348,62259,2026-05-19T05:13:48.396230,2026-05-19T05:22:23.396107,514.999877,353.59258194575375,1.4564781709108605,True,185.34325476899903,0.0,0.0
dkms-859,dkms-871,dkms-859->dkms-871,126,62478,62478,2026-05-19T05:13:48.396234,2026-05-19T05:22:58.396279,550.000045,495.02961472405525,1.111044730741184,True,132.3880391207136,0.0,0.0
dkms-859,dkms-874,dkms-859->dkms-874,126,62523,62523,2026-05-19T05:13:28.396126,2026-05-19T05:22:58.396283,570.000157,495.02961472405525,1.1514465802570935,True,132.3880391207136,0.0,0.0
dkms-862,dkms-850,dkms-862->dkms-850,121,54263,,2026-05-19T05:13:34.767950,,,825.0493578734254,,False,79.43282347242815,101.0,100.0
dkms-862,dkms-853,dkms-862->dkms-853,121,55180,,2026-05-19T05:13:24.767152,,,225.0134612382069,,False,291.2536860655699,110.7,112.0
dkms-862,dkms-856,dkms-862->dkms-856,121,55506,,2026-05-19T05:13:39.768068,,,825.0493578734254,,False,79.43282347242815,110.7,109.8
dkms-862,dkms-859,dkms-862->dkms-859,121,61958,,2026-05-19T05:13:24.767161,,,495.02961472405525,,False,132.3880391207136,253.8,256.8
dkms-862,dkms-865,dkms-862->dkms-865,121,62383,62383,2026-05-19T05:13:29.767845,2026-05-19T05:23:19.767803,589.999958,495.02961472405525,1.1918478015277614,True,132.3880391207136,0.0,0.0
dkms-862,dkms-868,dkms-862->dkms-868,121,61951,,2026-05-19T05:13:24.767169,,,495.02961472405525,,False,132.3880391207136,253.8,256.8
dkms-862,dkms-871,dkms-862->dkms-871,121,62449,62449,2026-05-19T05:13:29.767854,2026-05-19T05:23:14.767350,584.999496,353.59258194575375,1.6544450474069827,True,185.34325476899903,0.0,0.0
dkms-862,dkms-874,dkms-862->dkms-874,121,62392,62392,2026-05-19T05:13:29.767858,2026-05-19T05:23:19.767819,589.999961,495.02961472405525,1.1918478075880048,True,132.3880391207136,0.0,0.0
dkms-865,dkms-850,dkms-865->dkms-850,121,54570,,2026-05-19T05:13:49.778423,,,825.0493578734254,,False,79.43282347242815,101.0,101.6
dkms-865,dkms-853,dkms-865->dkms-853,121,56609,,2026-05-19T05:13:24.777881,,,825.0493578734254,,False,79.43282347242815,101.2,102.4
dkms-865,dkms-856,dkms-865->dkms-856,121,58055,,2026-05-19T05:13:24.777886,,,225.0134612382069,,False,291.2536860655699,101.2,100.4
dkms-865,dkms-859,dkms-865->dkms-859,121,54438,,2026-05-19T05:13:54.777712,,,495.02961472405525,,False,132.3880391207136,101.0,102.0
dkms-865,dkms-862,dkms-865->dkms-862,121,62387,62387,2026-05-19T05:13:24.777896,2026-05-19T05:23:19.778274,595.000378,495.02961472405525,1.2019490557785548,True,132.3880391207136,0.0,0.0
dkms-865,dkms-868,dkms-865->dkms-868,121,62357,62357,2026-05-19T05:13:29.777696,2026-05-19T05:22:49.778142,560.000446,495.02961472405525,1.1312463524271401,True,132.3880391207136,0.0,0.0
dkms-865,dkms-871,dkms-865->dkms-871,121,62276,62276,2026-05-19T05:13:24.777907,2026-05-19T05:21:59.778260,515.000353,495.02961472405525,1.0403425122092484,True,132.3880391207136,0.0,0.0
dkms-865,dkms-874,dkms-865->dkms-874,121,62399,62399,2026-05-19T05:13:34.777833,2026-05-19T05:21:59.778272,505.000439,353.59258194575375,1.4281986240239464,True,185.34325476899903,0.0,0.0
