commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-878->dkms-881,dkms-878,dkms-881,33.352016,1964.978664
dkms-878->dkms-884,dkms-878,dkms-884,119.470365,548.554446
dkms-878->dkms-887,dkms-878,dkms-887,62.091022,1055.482713
dkms-878->dkms-890,dkms-878,dkms-890,25.753296,2544.761613
dkms-878->dkms-893,dkms-878,dkms-893,196.532853,333.460787
dkms-878->dkms-896,dkms-878,dkms-896,16.900601,3877.731982
dkms-878->dkms-899,dkms-878,dkms-899,33.352016,1964.978664
dkms-878->dkms-902,dkms-878,dkms-902,33.352016,1964.978664
dkms-878->dkms-905,dkms-878,dkms-905,111.191162,589.399364
dkms-878->dkms-908,dkms-878,dkms-908,149.921589,437.135176
dkms-878->dkms-911,dkms-878,dkms-911,66.798735,981.096427
dkms-878->dkms-914,dkms-878,dkms-914,33.352016,1964.978664
dkms-878->dkms-917,dkms-878,dkms-917,351.767256,186.305004
dkms-878->dkms-920,dkms-878,dkms-920,111.191162,589.399364
dkms-878->dkms-923,dkms-878,dkms-923,16.900601,3877.731982
dkms-878->dkms-926,dkms-878,dkms-926,33.352016,1964.978664
dkms-878->dkms-929,dkms-878,dkms-929,33.352016,1964.978664
dkms-878->dkms-932,dkms-878,dkms-932,25.753296,2544.761613
dkms-878->dkms-935,dkms-878,dkms-935,61.464592,1066.239900
dkms-881->dkms-878,dkms-881,dkms-878,33.352016,1964.978664
dkms-881->dkms-884,dkms-881,dkms-884,33.352016,1964.978664
dkms-881->dkms-887,dkms-881,dkms-887,33.352016,1964.978664
dkms-881->dkms-890,dkms-881,dkms-890,25.753296,2544.761613
dkms-881->dkms-893,dkms-881,dkms-893,27.300970,2400.500751
dkms-881->dkms-896,dkms-881,dkms-896,570.254437,114.924139
dkms-881->dkms-899,dkms-881,dkms-899,49.019037,1336.949980
dkms-881->dkms-902,dkms-881,dkms-902,49.019037,1336.949980
dkms-881->dkms-905,dkms-881,dkms-905,27.300970,2400.500751
dkms-881->dkms-908,dkms-881,dkms-908,27.300970,2400.500751
dkms-881->dkms-911,dkms-881,dkms-911,27.300970,2400.500751
dkms-881->dkms-914,dkms-881,dkms-914,49.019037,1336.949980
dkms-881->dkms-917,dkms-881,dkms-917,33.352016,1964.978664
dkms-881->dkms-920,dkms-881,dkms-920,129.993787,504.147170
dkms-881->dkms-923,dkms-881,dkms-923,94.080011,696.598560
dkms-881->dkms-926,dkms-881,dkms-926,49.019037,1336.949980
dkms-881->dkms-929,dkms-881,dkms-929,414.482470,158.115251
