t_log_iso,t_seconds,src,peer,commodity_id,enc,dec,ack_pending,emit_total,observed_keys_per_s,sdn_rate_keys_per_s,fill_ratio
2026-05-19T06:10:23.891099,0.168454,dkms-1001,dkms-1004,dkms-1001->dkms-1004,0,0,0,0,0.0,102.3,0.000000
2026-05-19T06:10:28.892089,5.169444,dkms-1001,dkms-1004,dkms-1001->dkms-1004,0,0,1,0,0.0,102.3,0.000000
2026-05-19T06:10:33.891384,10.168739,dkms-1001,dkms-1004,dkms-1001->dkms-1004,0,0,0,0,0.0,102.3,0.000000
2026-05-19T06:10:38.891064,15.168419,dkms-1001,dkms-1004,dkms-1001->dkms-1004,321,320,0,321,64.2,102.3,0.004898
2026-05-19T06:10:43.891049,20.168404,dkms-1001,dkms-1004,dkms-1001->dkms-1004,837,827,0,837,103.2,102.3,0.012772
2026-05-19T06:10:48.891587,25.168942,dkms-1001,dkms-1004,dkms-1001->dkms-1004,1347,1346,0,1347,102.0,104.1,0.020554
2026-05-19T06:10:53.891134,30.168489,dkms-1001,dkms-1004,dkms-1001->dkms-1004,1873,1861,0,1873,105.2,104.1,0.028580
2026-05-19T06:10:58.891010,35.168365,dkms-1001,dkms-1004,dkms-1001->dkms-1004,2393,2393,0,2393,104.0,107.5,0.036514
2026-05-19T06:11:03.891010,40.168365,dkms-1001,dkms-1004,dkms-1001->dkms-1004,2937,2925,0,2937,108.8,107.5,0.044815
2026-05-19T06:11:08.891050,45.168405,dkms-1001,dkms-1004,dkms-1001->dkms-1004,3469,3468,0,3469,106.4,107.6,0.052933
2026-05-19T06:11:13.891177,50.168532,dkms-1001,dkms-1004,dkms-1001->dkms-1004,4012,4001,0,4012,108.6,107.6,0.061218
2026-05-19T06:11:18.891497,55.168852,dkms-1001,dkms-1004,dkms-1001->dkms-1004,4545,4544,0,4545,106.6,107.6,0.069351
2026-05-19T06:11:23.891440,60.168795,dkms-1001,dkms-1004,dkms-1001->dkms-1004,5078,5077,11,5078,106.6,107.6,0.077484
2026-05-19T06:11:28.891497,65.168852,dkms-1001,dkms-1004,dkms-1001->dkms-1004,6055,5998,0,6055,195.4,240.3,0.092392
2026-05-19T06:11:33.891126,70.168481,dkms-1001,dkms-1004,dkms-1001->dkms-1004,7174,7112,2,7174,223.8,182.4,0.109467
2026-05-19T06:11:38.891069,75.168424,dkms-1001,dkms-1004,dkms-1001->dkms-1004,8080,8030,0,8080,181.2,182.4,0.123291
2026-05-19T06:11:43.891042,80.168397,dkms-1001,dkms-1004,dkms-1001->dkms-1004,8983,8937,0,8983,180.6,182.4,0.137070
2026-05-19T06:11:48.891121,85.168476,dkms-1001,dkms-1004,dkms-1001->dkms-1004,9848,9821,56,9848,173.0,182.4,0.150269
2026-05-19T06:11:53.890968,90.168323,dkms-1001,dkms-1004,dkms-1001->dkms-1004,9976,9927,849,9976,25.6,182.4,0.152222
2026-05-19T06:11:58.891871,95.169226,dkms-1001,dkms-1004,dkms-1001->dkms-1004,10008,10175,1720,10008,6.4,182.4,0.152710
2026-05-19T06:12:03.890972,100.168327,dkms-1001,dkms-1004,dkms-1001->dkms-1004,10257,10319,2411,10257,49.8,188.6,0.156509
2026-05-19T06:12:08.891175,105.168530,dkms-1001,dkms-1004,dkms-1001->dkms-1004,10340,10447,3196,10340,16.6,165.2,0.157776
2026-05-19T06:12:13.890983,110.168338,dkms-1001,dkms-1004,dkms-1001->dkms-1004,10373,10485,3977,10373,6.6,164.1,0.158279
2026-05-19T06:12:18.891216,115.168571,dkms-1001,dkms-1004,dkms-1001->dkms-1004,10437,10743,4744,10437,12.8,164.1,0.159256
2026-05-19T06:12:23.891451,120.168806,dkms-1001,dkms-1004,dkms-1001->dkms-1004,10565,10835,5213,10565,25.6,167.1,0.161209
2026-05-19T06:12:28.891253,125.168608,dkms-1001,dkms-1004,dkms-1001->dkms-1004,13371,13208,2649,13371,561.2,157.4,0.204025
2026-05-19T06:12:33.891654,130.169009,dkms-1001,dkms-1004,dkms-1001->dkms-1004,14576,14408,2627,14576,241.0,232.2,0.222412
2026-05-19T06:12:38.891103,135.168458,dkms-1001,dkms-1004,dkms-1001->dkms-1004,15576,15351,2026,15576,200.0,209.0,0.237671
2026-05-19T06:12:43.891188,140.168543,dkms-1001,dkms-1004,dkms-1001->dkms-1004,15931,15749,1894,15931,71.0,191.2,0.243088
2026-05-19T06:12:48.891251,145.168606,dkms-1001,dkms-1004,dkms-1001->dkms-1004,16128,15859,1969,16128,39.4,200.5,0.246094
2026-05-19T06:12:53.891361,150.168716,dkms-1001,dkms-1004,dkms-1001->dkms-1004,16910,16250,1481,16910,156.4,95.9,0.258026
2026-05-19T06:12:58.890998,155.168353,dkms-1001,dkms-1004,dkms-1001->dkms-1004,17684,16866,1151,17684,154.8,91.6,0.269836
2026-05-19T06:13:03.891259,160.168614,dkms-1001,dkms-1004,dkms-1001->dkms-1004,19263,19031,96,19263,315.8,122.6,0.293930
2026-05-19T06:13:08.891177,165.168532,dkms-1001,dkms-1004,dkms-1001->dkms-1004,19739,19594,96,19739,95.2,11.7,0.301193
2026-05-19T06:13:13.891077,170.168432,dkms-1001,dkms-1004,dkms-1001->dkms-1004,19793,20133,64,19793,10.8,10.6,0.302017
2026-05-19T06:13:18.891099,175.168454,dkms-1001,dkms-1004,dkms-1001->dkms-1004,19853,20634,32,19853,12.0,16.8,0.302933
2026-05-19T06:13:23.891877,180.169232,dkms-1001,dkms-1004,dkms-1001->dkms-1004,19938,20718,0,19938,17.0,16.8,0.304230
2026-05-19T06:13:28.891336,185.168691,dkms-1001,dkms-1004,dkms-1001->dkms-1004,20014,20796,2,20014,15.2,15.7,0.305389
2026-05-19T06:13:33.891052,190.168407,dkms-1001,dkms-1004,dkms-1001->dkms-1004,20094,20874,0,20094,16.0,15.9,0.306610
2026-05-19T06:13:38.891479,195.168834,dkms-1001,dkms-1004,dkms-1001->dkms-1004,20175,20956,0,20175,16.2,16.2,0.307846
2026-05-19T06:13:43.891105,200.168460,dkms-1001,dkms-1004,dkms-1001->dkms-1004,20257,21036,0,20257,16.4,16.2,0.309097
2026-05-19T06:13:48.891718,205.169073,dkms-1001,dkms-1004,dkms-1001->dkms-1004,20303,21114,30,20303,9.2,15.3,0.309799
2026-05-19T06:13:53.891564,210.168919,dkms-1001,dkms-1004,dkms-1001->dkms-1004,20428,21198,3,20428,25.0,25.7,0.311707
2026-05-19T06:13:58.891253,215.168608,dkms-1001,dkms-1004,dkms-1001->dkms-1004,20559,21481,124,20559,26.2,94.2,0.313705
2026-05-19T06:14:03.891749,220.169104,dkms-1001,dkms-1004,dkms-1001->dkms-1004,21078,21890,27,21078,103.8,66.8,0.321625
2026-05-19T06:14:08.891101,225.168456,dkms-1001,dkms-1004,dkms-1001->dkms-1004,21306,22168,83,21306,45.6,57.0,0.325104
2026-05-19T06:14:13.891595,230.168950,dkms-1001,dkms-1004,dkms-1001->dkms-1004,21590,22454,146,21590,56.8,67.5,0.329437
2026-05-19T06:14:18.891256,235.168611,dkms-1001,dkms-1004,dkms-1001->dkms-1004,22112,22906,0,22112,104.4,84.3,0.337402
2026-05-19T06:14:23.891056,240.168411,dkms-1001,dkms-1004,dkms-1001->dkms-1004,22573,23361,0,22573,92.2,102.7,0.344437
2026-05-19T06:14:28.891216,245.168571,dkms-1001,dkms-1004,dkms-1001->dkms-1004,23087,23889,0,23087,102.8,104.1,0.352280
2026-05-19T06:14:33.891022,250.168377,dkms-1001,dkms-1004,dkms-1001->dkms-1004,23592,24433,50,23592,101.0,110.0,0.359985
2026-05-19T06:14:38.891065,255.168420,dkms-1001,dkms-1004,dkms-1001->dkms-1004,24182,24978,5,24182,118.0,110.0,0.368988
2026-05-19T06:14:43.890962,260.168317,dkms-1001,dkms-1004,dkms-1001->dkms-1004,24378,25161,312,24378,39.2,95.6,0.371979
2026-05-19T06:14:48.891002,265.168357,dkms-1001,dkms-1004,dkms-1001->dkms-1004,24416,25200,747,24416,7.6,95.3,0.372559
2026-05-19T06:14:53.891255,270.168610,dkms-1001,dkms-1004,dkms-1001->dkms-1004,24461,25242,1183,24461,9.0,95.1,0.373245
2026-05-19T06:14:58.891208,275.168563,dkms-1001,dkms-1004,dkms-1001->dkms-1004,24493,25325,1618,24493,6.4,93.8,0.373734
2026-05-19T06:15:03.891878,280.169233,dkms-1001,dkms-1004,dkms-1001->dkms-1004,24596,25403,1997,24596,20.6,97.7,0.375305
2026-05-19T06:15:08.891706,285.169061,dkms-1001,dkms-1004,dkms-1001->dkms-1004,25665,26115,1413,25665,213.8,98.4,0.391617
2026-05-19T06:15:13.891017,290.168372,dkms-1001,dkms-1004,dkms-1001->dkms-1004,26785,26829,749,26785,224.0,96.7,0.408707
2026-05-19T06:15:18.891105,295.168460,dkms-1001,dkms-1004,dkms-1001->dkms-1004,27272,27522,737,27272,97.4,97.7,0.416138
2026-05-19T06:15:23.891081,300.168436,dkms-1001,dkms-1004,dkms-1001->dkms-1004,27755,28021,747,27755,96.6,98.4,0.423508
2026-05-19T06:15:28.891621,305.168976,dkms-1001,dkms-1004,dkms-1001->dkms-1004,28256,28511,383,28256,100.2,98.5,0.431152
2026-05-19T06:15:33.891015,310.168370,dkms-1001,dkms-1004,dkms-1001->dkms-1004,28739,28994,10,28739,96.6,100.8,0.438522
2026-05-19T06:15:38.891747,315.169102,dkms-1001,dkms-1004,dkms-1001->dkms-1004,29330,29582,0,29330,118.2,126.2,0.447540
2026-05-19T06:15:43.891091,320.168446,dkms-1001,dkms-1004,dkms-1001->dkms-1004,29862,30122,10,29862,106.4,102.1,0.455658
2026-05-19T06:15:48.891889,325.169244,dkms-1001,dkms-1004,dkms-1001->dkms-1004,30276,30298,143,30276,82.8,117.7,0.461975
2026-05-19T06:15:53.891114,330.168469,dkms-1001,dkms-1004,dkms-1001->dkms-1004,30932,30376,74,30932,131.2,120.4,0.471985
2026-05-19T06:15:58.891295,335.168650,dkms-1001,dkms-1004,dkms-1001->dkms-1004,31623,31586,0,31623,138.2,119.8,0.482529
2026-05-19T06:16:03.890981,340.168336,dkms-1001,dkms-1004,dkms-1001->dkms-1004,32244,32514,34,32244,124.2,133.7,0.492004
2026-05-19T06:16:08.891217,345.168572,dkms-1001,dkms-1004,dkms-1001->dkms-1004,33095,33280,9,33095,170.2,340.7,0.504990
2026-05-19T06:16:13.890997,350.168352,dkms-1001,dkms-1004,dkms-1001->dkms-1004,34703,34614,0,34703,321.6,220.9,0.529526
2026-05-19T06:16:18.891378,355.168733,dkms-1001,dkms-1004,dkms-1001->dkms-1004,35804,36052,0,35804,220.2,206.4,0.546326
2026-05-19T06:16:23.891444,360.168799,dkms-1001,dkms-1004,dkms-1001->dkms-1004,36837,37082,0,36837,206.6,210.2,0.562088
2026-05-19T06:16:28.892032,365.169387,dkms-1001,dkms-1004,dkms-1001->dkms-1004,37918,38162,0,37918,216.2,228.2,0.578583
2026-05-19T06:16:33.892045,370.169400,dkms-1001,dkms-1004,dkms-1001->dkms-1004,38754,38984,0,38754,167.2,101.2,0.591339
2026-05-19T06:16:38.891655,375.169010,dkms-1001,dkms-1004,dkms-1001->dkms-1004,39233,39435,131,39233,95.8,168.5,0.598648
