t_log_iso,t_seconds,src,peer,commodity_id,enc,dec,ack_pending,emit_total,observed_keys_per_s,sdn_rate_keys_per_s,fill_ratio
2026-05-19T06:26:42.912419,0.170413,dkms-1029,dkms-1032,dkms-1029->dkms-1032,385,0,0,385,0.0,165.5,0.005875
2026-05-19T06:26:47.912428,5.170422,dkms-1029,dkms-1032,dkms-1029->dkms-1032,1205,0,0,1205,164.0,165.5,0.018387
2026-05-19T06:26:52.912785,10.170779,dkms-1029,dkms-1032,dkms-1029->dkms-1032,2041,0,0,2041,167.2,165.5,0.031143
2026-05-19T06:26:57.912505,15.170499,dkms-1029,dkms-1032,dkms-1029->dkms-1032,2861,2860,0,2861,164.0,165.5,0.043655
2026-05-19T06:27:02.912909,20.170903,dkms-1029,dkms-1032,dkms-1029->dkms-1032,3697,3696,0,3697,167.2,165.5,0.056412
2026-05-19T06:27:07.912234,25.170228,dkms-1029,dkms-1032,dkms-1029->dkms-1032,4517,4516,0,4517,164.0,165.5,0.068924
2026-05-19T06:27:12.912791,30.170785,dkms-1029,dkms-1032,dkms-1029->dkms-1032,5353,5335,0,5353,167.2,165.5,0.081680
2026-05-19T06:27:17.912404,35.170398,dkms-1029,dkms-1032,dkms-1029->dkms-1032,6172,6171,0,6172,163.8,165.5,0.094177
2026-05-19T06:27:22.913250,40.171244,dkms-1029,dkms-1032,dkms-1029->dkms-1032,6785,6756,0,6785,122.6,31.4,0.103531
2026-05-19T06:27:27.913172,45.171166,dkms-1029,dkms-1032,dkms-1029->dkms-1032,7012,6987,0,7012,45.4,44.8,0.106995
2026-05-19T06:27:32.912909,50.170903,dkms-1029,dkms-1032,dkms-1029->dkms-1032,7316,7295,7,7316,60.8,66.2,0.111633
2026-05-19T06:27:37.912691,55.170685,dkms-1029,dkms-1032,dkms-1029->dkms-1032,7651,7630,0,7651,67.0,66.2,0.116745
2026-05-19T06:27:42.912246,60.170240,dkms-1029,dkms-1032,dkms-1029->dkms-1032,7979,7958,6,7979,65.6,66.2,0.121750
2026-05-19T06:27:47.912731,65.170725,dkms-1029,dkms-1032,dkms-1029->dkms-1032,8313,8292,0,8313,66.8,66.2,0.126846
2026-05-19T06:27:52.912276,70.170270,dkms-1029,dkms-1032,dkms-1029->dkms-1032,8641,8620,7,8641,65.6,66.2,0.131851
2026-05-19T06:27:57.913283,75.171277,dkms-1029,dkms-1032,dkms-1029->dkms-1032,8975,8955,0,8975,66.8,66.2,0.136948
2026-05-19T06:28:02.912262,80.170256,dkms-1029,dkms-1032,dkms-1029->dkms-1032,9303,9282,7,9303,65.6,66.2,0.141953
2026-05-19T06:28:07.912359,85.170353,dkms-1029,dkms-1032,dkms-1029->dkms-1032,9637,9617,0,9637,66.8,66.2,0.147049
2026-05-19T06:28:12.912305,90.170299,dkms-1029,dkms-1032,dkms-1029->dkms-1032,9965,9945,0,9965,65.6,66.2,0.152054
2026-05-19T06:28:17.912919,95.170913,dkms-1029,dkms-1032,dkms-1029->dkms-1032,10300,10279,0,10300,67.0,66.2,0.157166
2026-05-19T06:28:22.912433,100.170427,dkms-1029,dkms-1032,dkms-1029->dkms-1032,10628,10607,0,10628,65.6,66.2,0.162170
2026-05-19T06:28:27.913201,105.171195,dkms-1029,dkms-1032,dkms-1029->dkms-1032,10962,10942,0,10962,66.8,66.2,0.167267
2026-05-19T06:28:32.912816,110.170810,dkms-1029,dkms-1032,dkms-1029->dkms-1032,11290,11269,0,11290,65.6,66.2,0.172272
2026-05-19T06:28:37.913228,115.171222,dkms-1029,dkms-1032,dkms-1029->dkms-1032,11628,11600,0,11628,67.6,67.5,0.177429
2026-05-19T06:28:42.912312,120.170306,dkms-1029,dkms-1032,dkms-1029->dkms-1032,11986,11960,0,11986,71.6,77.6,0.182892
2026-05-19T06:28:47.912918,125.170912,dkms-1029,dkms-1032,dkms-1029->dkms-1032,12378,12344,0,12378,78.4,77.6,0.188873
2026-05-19T06:28:52.912773,130.170767,dkms-1029,dkms-1032,dkms-1029->dkms-1032,12762,12736,0,12762,76.8,77.6,0.194733
2026-05-19T06:28:57.912324,135.170318,dkms-1029,dkms-1032,dkms-1029->dkms-1032,13147,13121,7,13147,77.0,77.6,0.200607
2026-05-19T06:29:02.912954,140.170948,dkms-1029,dkms-1032,dkms-1029->dkms-1032,13526,13500,0,13526,75.8,73.5,0.206390
2026-05-19T06:29:07.912333,145.170327,dkms-1029,dkms-1032,dkms-1029->dkms-1032,14079,13993,19,14079,110.6,183.7,0.214828
2026-05-19T06:29:12.912602,150.170596,dkms-1029,dkms-1032,dkms-1029->dkms-1032,15008,14922,0,15008,185.8,183.7,0.229004
2026-05-19T06:29:17.912932,155.170926,dkms-1029,dkms-1032,dkms-1029->dkms-1032,15918,15832,18,15918,182.0,183.7,0.242889
2026-05-19T06:29:22.912430,160.170424,dkms-1029,dkms-1032,dkms-1029->dkms-1032,16846,16760,0,16846,185.6,183.7,0.257050
2026-05-19T06:29:27.912274,165.170268,dkms-1029,dkms-1032,dkms-1029->dkms-1032,17740,17655,0,17740,178.8,191.2,0.270691
2026-05-19T06:29:32.912580,170.170574,dkms-1029,dkms-1032,dkms-1029->dkms-1032,18706,18622,0,18706,193.2,191.2,0.285431
2026-05-19T06:29:37.912276,175.170270,dkms-1029,dkms-1032,dkms-1029->dkms-1032,19775,19658,9,19775,213.8,252.9,0.301743
2026-05-19T06:29:42.913244,180.171238,dkms-1029,dkms-1032,dkms-1029->dkms-1032,20140,20236,0,20140,73.0,66.2,0.307312
2026-05-19T06:29:47.912702,185.170696,dkms-1029,dkms-1032,dkms-1029->dkms-1032,20485,20586,0,20485,69.0,91.2,0.312576
2026-05-19T06:29:52.912383,190.170377,dkms-1029,dkms-1032,dkms-1029->dkms-1032,21300,21399,0,21300,163.0,165.5,0.325012
2026-05-19T06:29:57.912857,195.170851,dkms-1029,dkms-1032,dkms-1029->dkms-1032,22119,22235,0,22119,163.8,165.5,0.337509
2026-05-19T06:30:02.912628,200.170622,dkms-1029,dkms-1032,dkms-1029->dkms-1032,22955,23055,0,22955,167.2,165.5,0.350266
2026-05-19T06:30:07.912345,205.170339,dkms-1029,dkms-1032,dkms-1029->dkms-1032,23775,23891,0,23775,164.0,165.5,0.362778
2026-05-19T06:30:12.912302,210.170296,dkms-1029,dkms-1032,dkms-1029->dkms-1032,24599,24711,12,24599,164.8,165.5,0.375351
2026-05-19T06:30:17.912429,215.170423,dkms-1029,dkms-1032,dkms-1029->dkms-1032,25431,25547,0,25431,166.4,165.5,0.388046
2026-05-19T06:30:22.912387,220.170381,dkms-1029,dkms-1032,dkms-1029->dkms-1032,26250,26368,17,26250,163.8,165.5,0.400543
2026-05-19T06:30:27.913309,225.171303,dkms-1029,dkms-1032,dkms-1029->dkms-1032,27086,27204,0,27086,167.2,165.5,0.413300
2026-05-19T06:30:32.912303,230.170297,dkms-1029,dkms-1032,dkms-1029->dkms-1032,27906,28024,17,27906,164.0,165.5,0.425812
2026-05-19T06:30:37.913204,235.171198,dkms-1029,dkms-1032,dkms-1029->dkms-1032,28742,28860,0,28742,167.2,165.5,0.438568
