architecture,test_id,sae_id,slave_sae_id,request_index,emitted_at_epoch,responded_at_epoch,elapsed_seconds,n_keys_requested,n_keys_received,status_code,success,error
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00001,lt-0-cd9ed4-20260519T063657Z-00000,1,1779172647.861875,1779172647.972389,0.110514,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00000,lt-0-cd9ed4-20260519T063657Z-00001,2,1779172648.020418,1779172648.098102,0.077683,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00002,lt-0-cd9ed4-20260519T063657Z-00001,3,1779172648.106018,1779172648.177841,0.071823,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00003,lt-0-cd9ed4-20260519T063657Z-00002,4,1779172648.354313,1779172648.374558,0.020245,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00003,lt-0-cd9ed4-20260519T063657Z-00000,5,1779172648.432621,1779172648.440297,0.007676,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00004,lt-0-cd9ed4-20260519T063657Z-00001,6,1779172648.603693,1779172648.707754,0.104060,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00004,lt-0-cd9ed4-20260519T063657Z-00000,7,1779172649.718847,1779172649.767980,0.049134,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00001,lt-0-cd9ed4-20260519T063657Z-00000,8,1779172649.922618,1779172649.926870,0.004252,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00000,lt-0-cd9ed4-20260519T063657Z-00003,9,1779172650.228983,1779172650.233752,0.004768,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00001,lt-0-cd9ed4-20260519T063657Z-00002,10,1779172650.850099,1779172650.854569,0.004471,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00000,lt-0-cd9ed4-20260519T063657Z-00002,11,1779172651.008932,1779172651.012812,0.003881,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00003,lt-0-cd9ed4-20260519T063657Z-00002,12,1779172651.449350,1779172651.453196,0.003846,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00000,lt-0-cd9ed4-20260519T063657Z-00002,13,1779172652.280528,1779172652.284166,0.003638,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00001,lt-0-cd9ed4-20260519T063657Z-00000,14,1779172652.465027,1779172652.469261,0.004235,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00003,lt-0-cd9ed4-20260519T063657Z-00001,15,1779172653.222613,1779172653.226605,0.003992,1,1,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00001,lt-0-cd9ed4-20260519T063657Z-00004,16,1779172653.272360,1779172653.337849,0.065490,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00001,lt-0-cd9ed4-20260519T063657Z-00002,17,1779172653.527937,1779172653.531516,0.003579,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00003,lt-0-cd9ed4-20260519T063657Z-00000,18,1779172653.726442,1779172653.730481,0.004039,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00004,lt-0-cd9ed4-20260519T063657Z-00000,19,1779172654.264506,1779172654.268374,0.003868,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00003,lt-0-cd9ed4-20260519T063657Z-00002,20,1779172654.333522,1779172654.337418,0.003896,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim59-20260519T063650-cd9ed4,lt-0-cd9ed4-20260519T063657Z-00004,lt-0-cd9ed4-20260519T063657Z-00003,21,1779172654.582966,1779172654.587122,0.004156,2,2,200,true,
