src,peer,commodity_id,samples,max_enc,enc_at_sat,t_first_emit,t_saturated,t_observed_seconds,t_theoretical_seconds,ratio,saturated,theory_rate_keys_per_s,last_sdn_rate_keys_per_s,last_observed_keys_per_s
dkms-1082,dkms-1085,dkms-1082->dkms-1085,122,20270,,2026-05-19T07:03:30.748335,,,915.2457074708244,,False,71.60481547747561,17.3,17.4
dkms-1082,dkms-1088,dkms-1082->dkms-1088,122,18085,,2026-05-19T07:03:40.748453,,,2151.0215401700016,,False,30.467384345588883,34.0,34.2
dkms-1082,dkms-1091,dkms-1082->dkms-1091,122,13226,,2026-05-19T07:03:35.748240,,,2574.991003160031,,False,25.450962709995554,25.9,12.4
dkms-1082,dkms-1094,dkms-1082->dkms-1094,122,20289,,2026-05-19T07:03:40.748462,,,1584.4064514390614,,False,41.36312367352198,17.3,17.0
dkms-1082,dkms-1097,dkms-1082->dkms-1097,122,20304,,2026-05-19T07:03:40.748467,,,915.2457074708244,,False,71.60481547747561,17.2,17.2
dkms-1082,dkms-1100,dkms-1082->dkms-1100,122,19867,,2026-05-19T07:03:40.748471,,,1045.9294680315588,,False,62.65814474406087,12.4,12.2
dkms-1082,dkms-1103,dkms-1082->dkms-1103,122,62441,62441,2026-05-19T07:03:40.748476,2026-05-19T07:09:00.748106,319.99963,108.66389930359719,2.94485686645525,True,603.1073835929474,0.0,0.0
dkms-1082,dkms-1106,dkms-1082->dkms-1106,122,57827,,2026-05-19T07:03:40.748482,,,701.4988852698951,,False,93.42281417138052,122.7,121.8
dkms-1082,dkms-1109,dkms-1082->dkms-1109,122,18140,,2026-05-19T07:03:30.748400,,,2151.0215401700016,,False,30.467384345588883,34.0,34.2
dkms-1082,dkms-1112,dkms-1082->dkms-1112,122,14893,,2026-05-19T07:03:40.748501,,,3011.430156238003,,False,21.762417389706343,25.5,25.8
dkms-1082,dkms-1115,dkms-1082->dkms-1115,122,14871,,2026-05-19T07:03:35.748288,,,3011.430156238003,,False,21.762417389706343,25.5,25.2
dkms-1082,dkms-1118,dkms-1082->dkms-1118,122,13224,,2026-05-19T07:03:40.748511,,,2574.991003160031,,False,25.450962709995554,25.9,12.6
dkms-1082,dkms-1121,dkms-1082->dkms-1121,122,19585,,2026-05-19T07:03:40.748517,,,3011.430156238003,,False,21.762417389706343,123.7,42.6
dkms-1082,dkms-1124,dkms-1082->dkms-1124,122,19864,,2026-05-19T07:03:40.748523,,,1217.0253688326943,,False,53.84932942101168,12.4,12.2
dkms-1082,dkms-1127,dkms-1082->dkms-1127,122,52727,,2026-05-19T07:03:40.748528,,,701.4988852698951,,False,93.42281417138052,61.3,61.4
dkms-1082,dkms-1130,dkms-1082->dkms-1130,122,19861,,2026-05-19T07:03:40.748546,,,1045.9294680315588,,False,62.65814474406087,12.4,12.6
dkms-1082,dkms-1133,dkms-1082->dkms-1133,122,20289,,2026-05-19T07:03:40.748552,,,1584.4064514390614,,False,41.36312367352198,17.3,17.0
dkms-1082,dkms-1136,dkms-1082->dkms-1136,122,62336,62336,2026-05-19T07:03:40.748557,2026-05-19T07:13:15.748828,575.000271,328.7105214564345,1.74926031710916,True,199.37299149910473,0.0,0.0
dkms-1082,dkms-1139,dkms-1082->dkms-1139,122,20293,,2026-05-19T07:03:40.748584,,,1584.4064514390614,,False,41.36312367352198,17.3,17.0
dkms-1085,dkms-1082,dkms-1085->dkms-1082,122,20297,,2026-05-19T07:03:35.747035,,,915.2457074708244,,False,71.60481547747561,17.3,17.0
dkms-1085,dkms-1088,dkms-1085->dkms-1088,122,15294,,2026-05-19T07:03:40.747051,,,3011.430156238003,,False,21.762417389706343,29.7,15.2
dkms-1085,dkms-1091,dkms-1085->dkms-1091,122,19947,,2026-05-19T07:03:40.747056,,,2574.991003160031,,False,25.450962709995554,9.0,4.4
dkms-1085,dkms-1094,dkms-1085->dkms-1094,122,22716,,2026-05-19T07:03:40.747061,,,569.9930484521403,,False,114.97684081931878,30.5,31.4
dkms-1085,dkms-1097,dkms-1085->dkms-1097,122,22664,,2026-05-19T07:03:40.747065,,,232.73755285272452,,False,281.5875615976376,30.5,31.4
dkms-1085,dkms-1100,dkms-1085->dkms-1100,122,21473,,2026-05-19T07:03:40.747069,,,2574.991003160031,,False,25.450962709995554,30.5,11.8
dkms-1085,dkms-1103,dkms-1085->dkms-1103,122,20238,,2026-05-19T07:03:40.747073,,,1584.4064514390614,,False,41.36312367352198,17.2,17.2
dkms-1085,dkms-1106,dkms-1085->dkms-1106,122,31447,,2026-05-19T07:03:40.747077,,,1294.125264959794,,False,50.641156443256726,35.7,34.8
dkms-1085,dkms-1109,dkms-1085->dkms-1109,122,15227,,2026-05-19T07:03:40.747081,,,3011.430156238003,,False,21.762417389706343,29.7,15.4
dkms-1085,dkms-1112,dkms-1085->dkms-1112,122,13251,,2026-05-19T07:03:35.747095,,,2574.991003160031,,False,25.450962709995554,25.9,13.0
dkms-1085,dkms-1115,dkms-1085->dkms-1115,122,19220,,2026-05-19T07:03:30.746223,,,2574.991003160031,,False,25.450962709995554,80.3,38.4
dkms-1085,dkms-1118,dkms-1085->dkms-1118,122,19968,,2026-05-19T07:03:40.747094,,,2574.991003160031,,False,25.450962709995554,9.0,4.4
