metric,label_key,label_value,value
loadtest_keys_received_total,test_id,ramp-sim62-20260519T072824-a35e9e,9030.0
loadtest_keys_received_total,_all_labels,test_id=ramp-sim62-20260519T072824-a35e9e,9030.0
loadtest_keys_requested_total,test_id,ramp-sim62-20260519T072824-a35e9e,9030.0
loadtest_keys_requested_total,_all_labels,test_id=ramp-sim62-20260519T072824-a35e9e,9030.0
loadtest_requests_total,result,ok,2232.0
loadtest_requests_total,status_code,200,2232.0
loadtest_requests_total,test_id,ramp-sim62-20260519T072824-a35e9e,2232.0
loadtest_requests_total,_all_labels,result=ok|status_code=200|test_id=ramp-sim62-20260519T072824-a35e9e,2232.0
loadtest_request_duration_seconds_bucket,le,0.05,2148.0
loadtest_request_duration_seconds_bucket,le,0.1,2225.0
loadtest_request_duration_seconds_bucket,le,0.25,2232.0
loadtest_request_duration_seconds_bucket,le,0.5,2232.0
loadtest_request_duration_seconds_bucket,le,1.0,2232.0
loadtest_request_duration_seconds_bucket,le,2.0,2232.0
loadtest_request_duration_seconds_bucket,le,5.0,2232.0
loadtest_request_duration_seconds_bucket,le,10.0,2232.0
loadtest_request_duration_seconds_bucket,le,20.0,2232.0
loadtest_request_duration_seconds_bucket,le,30.0,2232.0
loadtest_request_duration_seconds_bucket,le,60.0,2232.0
loadtest_request_duration_seconds_bucket,le,+Inf,2232.0
loadtest_request_duration_seconds_count,,,2232
loadtest_request_duration_seconds_sum,,,15.546260595321655
