src,peer,commodity_id,samples,max_enc,enc_at_sat,t_first_emit,t_saturated,t_observed_seconds,t_theoretical_seconds,ratio,saturated,theory_rate_keys_per_s,last_sdn_rate_keys_per_s,last_observed_keys_per_s
dkms-1143,dkms-1146,dkms-1143->dkms-1146,125,62315,62315,2026-05-19T07:18:47.530217,2026-05-19T07:24:42.530112,354.999895,225.0134612382069,1.5776829219305464,True,291.2536860655699,0.0,0.0
dkms-1143,dkms-1149,dkms-1143->dkms-1149,125,62394,62394,2026-05-19T07:18:37.530712,2026-05-19T07:24:42.530134,364.999422,412.52467893671275,0.8847941484150483,True,158.86564694485628,0.0,0.0
dkms-1143,dkms-1152,dkms-1143->dkms-1152,125,62432,62432,2026-05-19T07:18:37.530720,2026-05-19T07:24:22.530853,345.000133,101.02645198450107,3.4149485231147985,True,648.7013916914966,0.0,0.0
dkms-1143,dkms-1155,dkms-1143->dkms-1155,125,27341,,2026-05-19T07:18:37.530725,,,1320.0789725974807,,False,49.645514670267595,39.7,40.2
dkms-1143,dkms-1158,dkms-1143->dkms-1158,125,31894,,2026-05-19T07:18:52.530193,,,1320.0789725974807,,False,49.645514670267595,59.6,59.0
dkms-1143,dkms-1161,dkms-1143->dkms-1161,125,31965,,2026-05-19T07:18:37.530736,,,1320.0789725974807,,False,49.645514670267595,59.6,59.0
dkms-1143,dkms-1164,dkms-1143->dkms-1164,125,31937,,2026-05-19T07:18:52.530202,,,1320.0789725974807,,False,49.645514670267595,59.6,58.8
dkms-1146,dkms-1143,dkms-1146->dkms-1143,121,62435,62293,2026-05-19T07:18:50.380748,2026-05-19T07:24:40.381465,350.000717,225.0134612382069,1.5554656822485715,True,291.2536860655699,0.0,0.0
dkms-1146,dkms-1149,dkms-1146->dkms-1149,121,62377,62377,2026-05-19T07:18:25.380912,2026-05-19T07:24:40.381485,375.000573,412.52467893671275,0.9090379125112428,True,158.86564694485628,0.0,0.0
dkms-1146,dkms-1152,dkms-1146->dkms-1152,121,62320,62320,2026-05-19T07:18:20.381109,2026-05-19T07:24:40.381490,380.000381,225.0134612382069,1.6887895457850794,True,291.2536860655699,0.0,0.0
dkms-1146,dkms-1155,dkms-1146->dkms-1155,121,27386,,2026-05-19T07:18:25.380921,,,1320.0789725974807,,False,49.645514670267595,39.7,39.4
dkms-1146,dkms-1158,dkms-1146->dkms-1158,121,31755,,2026-05-19T07:18:25.380925,,,1320.0789725974807,,False,49.645514670267595,59.6,59.0
dkms-1146,dkms-1161,dkms-1146->dkms-1161,121,31780,,2026-05-19T07:18:20.381121,,,1320.0789725974807,,False,49.645514670267595,59.6,59.0
dkms-1146,dkms-1164,dkms-1146->dkms-1164,121,31768,,2026-05-19T07:18:20.381125,,,1320.0789725974807,,False,49.645514670267595,59.6,59.0
dkms-1149,dkms-1143,dkms-1149->dkms-1143,121,62363,62363,2026-05-19T07:18:30.446717,2026-05-19T07:24:40.445800,369.999083,412.52467893671275,0.8969138136260769,True,158.86564694485628,0.0,0.0
dkms-1149,dkms-1146,dkms-1149->dkms-1146,121,62371,62371,2026-05-19T07:18:25.446162,2026-05-19T07:24:40.445821,374.999659,412.52467893671275,0.9090356968862229,True,158.86564694485628,0.0,0.0
dkms-1149,dkms-1152,dkms-1149->dkms-1152,121,62311,62311,2026-05-19T07:18:25.446167,2026-05-19T07:24:40.445826,374.999659,126.93067044206542,2.9543660148802253,True,516.3133525707831,0.0,0.0
dkms-1149,dkms-1155,dkms-1149->dkms-1155,121,22849,,2026-05-19T07:18:20.445910,,,1320.0789725974807,,False,49.645514670267595,19.9,19.6
dkms-1149,dkms-1158,dkms-1149->dkms-1158,121,27371,,2026-05-19T07:18:20.445914,,,1320.0789725974807,,False,49.645514670267595,39.7,40.2
dkms-1149,dkms-1161,dkms-1149->dkms-1161,121,27367,,2026-05-19T07:18:25.446179,,,1320.0789725974807,,False,49.645514670267595,39.7,39.4
dkms-1149,dkms-1164,dkms-1149->dkms-1164,121,27328,,2026-05-19T07:18:25.446183,,,1320.0789725974807,,False,49.645514670267595,39.7,40.2
dkms-1152,dkms-1143,dkms-1152->dkms-1143,121,62458,62377,2026-05-19T07:18:30.439790,2026-05-19T07:24:20.439460,349.99967,101.02645198450107,3.4644359286585167,True,648.7013916914966,0.0,0.0
dkms-1152,dkms-1146,dkms-1152->dkms-1146,121,62292,62292,2026-05-19T07:18:20.439666,2026-05-19T07:24:40.440231,380.000565,412.52467893671275,0.9211583800985094,True,158.86564694485628,0.0,0.0
dkms-1152,dkms-1149,dkms-1152->dkms-1149,121,62314,62314,2026-05-19T07:18:25.440429,2026-05-19T07:24:40.440236,374.999807,126.93067044206542,2.9543671808710723,True,516.3133525707831,0.0,0.0
dkms-1152,dkms-1155,dkms-1152->dkms-1155,121,27270,,2026-05-19T07:18:25.440434,,,1320.0789725974807,,False,49.645514670267595,39.7,39.4
dkms-1152,dkms-1158,dkms-1152->dkms-1158,121,31789,,2026-05-19T07:18:20.439683,,,1320.0789725974807,,False,49.645514670267595,59.6,60.2
dkms-1152,dkms-1161,dkms-1152->dkms-1161,121,31782,,2026-05-19T07:18:25.440442,,,1320.0789725974807,,False,49.645514670267595,59.6,59.0
dkms-1152,dkms-1164,dkms-1152->dkms-1164,121,31814,,2026-05-19T07:18:20.439694,,,1320.0789725974807,,False,49.645514670267595,59.6,59.0
dkms-1155,dkms-1143,dkms-1155->dkms-1143,121,27325,,2026-05-19T07:18:20.373292,,,1320.0789725974807,,False,49.645514670267595,39.7,40.2
dkms-1155,dkms-1146,dkms-1155->dkms-1146,121,27364,,2026-05-19T07:18:25.373318,,,1320.0789725974807,,False,49.645514670267595,39.7,40.0
dkms-1155,dkms-1149,dkms-1155->dkms-1149,121,22818,,2026-05-19T07:18:20.373315,,,1320.0789725974807,,False,49.645514670267595,19.9,20.0
dkms-1155,dkms-1152,dkms-1155->dkms-1152,121,27376,,2026-05-19T07:18:25.373327,,,1320.0789725974807,,False,49.645514670267595,39.7,40.0
dkms-1155,dkms-1158,dkms-1155->dkms-1158,121,62392,62392,2026-05-19T07:18:25.373331,2026-05-19T07:24:25.373174,359.999843,412.52467893671275,0.8726746819800063,True,158.86564694485628,0.0,0.0
dkms-1155,dkms-1161,dkms-1155->dkms-1161,121,62391,62391,2026-05-19T07:18:25.373335,2026-05-19T07:24:25.373178,359.999843,412.52467893671275,0.8726746819800063,True,158.86564694485628,0.0,0.0
dkms-1155,dkms-1164,dkms-1155->dkms-1164,121,62469,62469,2026-05-19T07:18:20.373331,2026-05-19T07:24:25.373182,364.999851,126.93067044206542,2.8755843621467023,True,516.3133525707831,0.0,0.0
dkms-1158,dkms-1143,dkms-1158->dkms-1143,121,31747,,2026-05-19T07:18:50.381342,,,1320.0789725974807,,False,49.645514670267595,59.6,60.2
dkms-1158,dkms-1146,dkms-1158->dkms-1146,121,31752,,2026-05-19T07:18:25.381372,,,1320.0789725974807,,False,49.645514670267595,59.6,60.2
dkms-1158,dkms-1149,dkms-1158->dkms-1149,121,27370,,2026-05-19T07:18:20.381727,,,1320.0789725974807,,False,49.645514670267595,39.7,39.4
dkms-1158,dkms-1152,dkms-1158->dkms-1152,121,31777,,2026-05-19T07:18:25.381381,,,1320.0789725974807,,False,49.645514670267595,59.6,60.2
dkms-1158,dkms-1155,dkms-1158->dkms-1155,121,62389,62389,2026-05-19T07:18:25.381385,2026-05-19T07:24:25.381459,360.000074,412.52467893671275,0.8726752419465047,True,158.86564694485628,0.0,0.0
dkms-1158,dkms-1161,dkms-1158->dkms-1161,121,62461,62461,2026-05-19T07:18:25.381390,2026-05-19T07:24:25.381465,360.000075,225.0134612382069,1.5999046146794376,True,291.2536860655699,0.0,0.0
