commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-1143->dkms-1146,dkms-1143,dkms-1146,291.253686,225.013461
dkms-1143->dkms-1149,dkms-1143,dkms-1149,158.865647,412.524679
dkms-1143->dkms-1152,dkms-1143,dkms-1152,648.701392,101.026452
dkms-1143->dkms-1155,dkms-1143,dkms-1155,49.645515,1320.078973
dkms-1143->dkms-1158,dkms-1143,dkms-1158,49.645515,1320.078973
dkms-1143->dkms-1161,dkms-1143,dkms-1161,49.645515,1320.078973
dkms-1143->dkms-1164,dkms-1143,dkms-1164,49.645515,1320.078973
dkms-1146->dkms-1143,dkms-1146,dkms-1143,291.253686,225.013461
dkms-1146->dkms-1149,dkms-1146,dkms-1149,158.865647,412.524679
dkms-1146->dkms-1152,dkms-1146,dkms-1152,291.253686,225.013461
dkms-1146->dkms-1155,dkms-1146,dkms-1155,49.645515,1320.078973
dkms-1146->dkms-1158,dkms-1146,dkms-1158,49.645515,1320.078973
dkms-1146->dkms-1161,dkms-1146,dkms-1161,49.645515,1320.078973
dkms-1146->dkms-1164,dkms-1146,dkms-1164,49.645515,1320.078973
dkms-1149->dkms-1143,dkms-1149,dkms-1143,158.865647,412.524679
dkms-1149->dkms-1146,dkms-1149,dkms-1146,158.865647,412.524679
dkms-1149->dkms-1152,dkms-1149,dkms-1152,516.313353,126.930670
dkms-1149->dkms-1155,dkms-1149,dkms-1155,49.645515,1320.078973
dkms-1149->dkms-1158,dkms-1149,dkms-1158,49.645515,1320.078973
dkms-1149->dkms-1161,dkms-1149,dkms-1161,49.645515,1320.078973
dkms-1149->dkms-1164,dkms-1149,dkms-1164,49.645515,1320.078973
dkms-1152->dkms-1143,dkms-1152,dkms-1143,648.701392,101.026452
dkms-1152->dkms-1146,dkms-1152,dkms-1146,158.865647,412.524679
dkms-1152->dkms-1149,dkms-1152,dkms-1149,516.313353,126.930670
dkms-1152->dkms-1155,dkms-1152,dkms-1155,49.645515,1320.078973
dkms-1152->dkms-1158,dkms-1152,dkms-1158,49.645515,1320.078973
dkms-1152->dkms-1161,dkms-1152,dkms-1161,49.645515,1320.078973
dkms-1152->dkms-1164,dkms-1152,dkms-1164,49.645515,1320.078973
dkms-1155->dkms-1143,dkms-1155,dkms-1143,49.645515,1320.078973
dkms-1155->dkms-1146,dkms-1155,dkms-1146,49.645515,1320.078973
dkms-1155->dkms-1149,dkms-1155,dkms-1149,49.645515,1320.078973
dkms-1155->dkms-1152,dkms-1155,dkms-1152,49.645515,1320.078973
dkms-1155->dkms-1158,dkms-1155,dkms-1158,158.865647,412.524679
dkms-1155->dkms-1161,dkms-1155,dkms-1161,158.865647,412.524679
dkms-1155->dkms-1164,dkms-1155,dkms-1164,516.313353,126.930670
dkms-1158->dkms-1143,dkms-1158,dkms-1143,49.645515,1320.078973
dkms-1158->dkms-1146,dkms-1158,dkms-1146,49.645515,1320.078973
dkms-1158->dkms-1149,dkms-1158,dkms-1149,49.645515,1320.078973
dkms-1158->dkms-1152,dkms-1158,dkms-1152,49.645515,1320.078973
dkms-1158->dkms-1155,dkms-1158,dkms-1155,158.865647,412.524679
dkms-1158->dkms-1161,dkms-1158,dkms-1161,291.253686,225.013461
dkms-1158->dkms-1164,dkms-1158,dkms-1164,158.865647,412.524679
dkms-1161->dkms-1143,dkms-1161,dkms-1143,49.645515,1320.078973
dkms-1161->dkms-1146,dkms-1161,dkms-1146,49.645515,1320.078973
dkms-1161->dkms-1149,dkms-1161,dkms-1149,49.645515,1320.078973
dkms-1161->dkms-1152,dkms-1161,dkms-1152,49.645515,1320.078973
dkms-1161->dkms-1155,dkms-1161,dkms-1155,158.865647,412.524679
dkms-1161->dkms-1158,dkms-1161,dkms-1158,291.253686,225.013461
dkms-1161->dkms-1164,dkms-1161,dkms-1164,648.701392,101.026452
dkms-1164->dkms-1143,dkms-1164,dkms-1143,49.645515,1320.078973
dkms-1164->dkms-1146,dkms-1164,dkms-1146,49.645515,1320.078973
dkms-1164->dkms-1149,dkms-1164,dkms-1149,49.645515,1320.078973
dkms-1164->dkms-1152,dkms-1164,dkms-1152,49.645515,1320.078973
dkms-1164->dkms-1155,dkms-1164,dkms-1155,516.313353,126.930670
dkms-1164->dkms-1158,dkms-1164,dkms-1158,291.253686,225.013461
dkms-1164->dkms-1161,dkms-1164,dkms-1161,648.701392,101.026452
