t_log_iso,t_seconds,src,peer,commodity_id,enc,dec,ack_pending,emit_total,observed_keys_per_s,sdn_rate_keys_per_s,fill_ratio
2026-05-18T16:10:54.071177,0.000000,dkms-622,dkms-625,dkms-622->dkms-625,0,0,0,0,0.0,22.7,0.000000
2026-05-18T16:10:59.071104,4.999927,dkms-622,dkms-625,dkms-622->dkms-625,0,0,94,0,0.0,22.7,0.000000
2026-05-18T16:11:04.071661,10.000484,dkms-622,dkms-625,dkms-622->dkms-625,206,209,3,206,41.2,22.7,0.003143
2026-05-18T16:11:09.071252,15.000075,dkms-622,dkms-625,dkms-622->dkms-625,321,321,0,321,23.0,22.7,0.004898
2026-05-18T16:11:14.071557,20.000380,dkms-622,dkms-625,dkms-622->dkms-625,434,436,2,434,22.6,22.7,0.006622
2026-05-18T16:11:19.071181,25.000004,dkms-622,dkms-625,dkms-622->dkms-625,548,548,0,548,22.8,22.7,0.008362
2026-05-18T16:11:24.072107,30.000930,dkms-622,dkms-625,dkms-622->dkms-625,661,663,2,661,22.6,22.7,0.010086
2026-05-18T16:11:29.071928,35.000751,dkms-622,dkms-625,dkms-622->dkms-625,775,775,0,775,22.8,22.7,0.011826
2026-05-18T16:11:34.071077,39.999900,dkms-622,dkms-625,dkms-622->dkms-625,888,890,2,888,22.6,22.7,0.013550
2026-05-18T16:11:39.071524,45.000347,dkms-622,dkms-625,dkms-622->dkms-625,1002,1002,0,1002,22.8,22.7,0.015289
2026-05-18T16:11:44.071063,49.999886,dkms-622,dkms-625,dkms-622->dkms-625,1115,1117,2,1115,22.6,22.7,0.017014
2026-05-18T16:11:49.071646,55.000469,dkms-622,dkms-625,dkms-622->dkms-625,1229,1229,0,1229,22.8,22.7,0.018753
2026-05-18T16:11:54.071119,59.999942,dkms-622,dkms-625,dkms-622->dkms-625,1342,1344,2,1342,22.6,22.7,0.020477
2026-05-18T16:11:59.071245,65.000068,dkms-622,dkms-625,dkms-622->dkms-625,1456,1456,0,1456,22.8,22.7,0.022217
2026-05-18T16:12:04.071087,69.999910,dkms-622,dkms-625,dkms-622->dkms-625,1569,1571,0,1569,22.6,22.7,0.023941
2026-05-18T16:12:09.071999,75.000822,dkms-622,dkms-625,dkms-622->dkms-625,1683,1683,0,1683,22.8,22.7,0.025681
2026-05-18T16:12:14.071070,79.999893,dkms-622,dkms-625,dkms-622->dkms-625,1796,1798,0,1796,22.6,22.7,0.027405
2026-05-18T16:12:19.071444,85.000267,dkms-622,dkms-625,dkms-622->dkms-625,1908,1911,2,1908,22.4,22.7,0.029114
