t_log_iso,t_seconds,src,peer,commodity_id,enc,dec,ack_pending,emit_total,observed_keys_per_s,sdn_rate_keys_per_s,fill_ratio
2026-05-18T20:57:54.938616,5.330323,dkms-711,dkms-714,dkms-711->dkms-714,803,817,20,803,0.0,198.6,0.012253
2026-05-18T20:57:59.939343,10.331050,dkms-711,dkms-714,dkms-711->dkms-714,1786,1807,20,1786,196.6,198.6,0.027252
2026-05-18T20:58:04.938942,15.330649,dkms-711,dkms-714,dkms-711->dkms-714,2789,2798,20,2789,200.6,198.6,0.042557
2026-05-18T20:58:09.939037,20.330744,dkms-711,dkms-714,dkms-711->dkms-714,3773,3795,20,3773,196.8,198.6,0.057571
2026-05-18T20:58:14.938840,25.330547,dkms-711,dkms-714,dkms-711->dkms-714,4776,4778,20,4776,200.6,198.6,0.072876
2026-05-18T20:58:19.939496,30.331203,dkms-711,dkms-714,dkms-711->dkms-714,5760,5781,20,5760,196.8,198.6,0.087891
2026-05-18T20:58:24.938605,35.330312,dkms-711,dkms-714,dkms-711->dkms-714,6698,6668,4,6698,187.6,36.1,0.102203
2026-05-18T20:58:29.938663,40.330370,dkms-711,dkms-714,dkms-711->dkms-714,7083,7115,0,7083,77.0,198.6,0.108078
2026-05-18T20:58:34.938960,45.330667,dkms-711,dkms-714,dkms-711->dkms-714,8087,8098,0,8087,200.8,198.6,0.123398
2026-05-18T20:58:39.938556,50.330263,dkms-711,dkms-714,dkms-711->dkms-714,9070,9102,0,9070,196.6,198.6,0.138397
2026-05-18T20:58:44.938841,55.330548,dkms-711,dkms-714,dkms-711->dkms-714,10054,10085,20,10054,196.8,198.6,0.153412
2026-05-18T20:58:49.938854,60.330561,dkms-711,dkms-714,dkms-711->dkms-714,11057,11089,0,11057,200.6,198.6,0.168716
2026-05-18T20:58:54.938685,65.330392,dkms-711,dkms-714,dkms-711->dkms-714,12040,12072,20,12040,196.6,198.6,0.183716
2026-05-18T20:58:59.938612,70.330319,dkms-711,dkms-714,dkms-711->dkms-714,13044,13076,0,13044,200.8,198.6,0.199036
2026-05-18T20:59:04.938541,75.330248,dkms-711,dkms-714,dkms-711->dkms-714,14027,14060,20,14027,196.6,198.6,0.214035
2026-05-18T20:59:09.938505,80.330212,dkms-711,dkms-714,dkms-711->dkms-714,15031,15058,0,15031,200.8,198.6,0.229355
2026-05-18T20:59:14.938563,85.330270,dkms-711,dkms-714,dkms-711->dkms-714,16014,16047,0,16014,196.6,198.6,0.244354
2026-05-18T20:59:19.938779,90.330486,dkms-711,dkms-714,dkms-711->dkms-714,17018,17030,0,17018,200.8,198.6,0.259674
2026-05-18T20:59:24.939193,95.330900,dkms-711,dkms-714,dkms-711->dkms-714,18002,18034,0,18002,196.8,198.6,0.274689
2026-05-18T20:59:29.938760,100.330467,dkms-711,dkms-714,dkms-711->dkms-714,19006,19017,0,19006,200.8,198.6,0.290009
2026-05-18T20:59:34.939053,105.330760,dkms-711,dkms-714,dkms-711->dkms-714,19869,19869,0,19869,172.6,49.6,0.303177
2026-05-18T20:59:39.939101,110.330808,dkms-711,dkms-714,dkms-711->dkms-714,20825,20853,17,20825,191.2,198.6,0.317764
2026-05-18T20:59:44.939062,115.330769,dkms-711,dkms-714,dkms-711->dkms-714,21826,21857,0,21826,200.2,198.6,0.333038
2026-05-18T20:59:49.939500,120.331207,dkms-711,dkms-714,dkms-711->dkms-714,22830,22840,0,22830,200.8,198.6,0.348358
2026-05-18T20:59:54.938831,125.330538,dkms-711,dkms-714,dkms-711->dkms-714,23814,23844,0,23814,196.8,198.6,0.363373
2026-05-18T20:59:59.938725,130.330432,dkms-711,dkms-714,dkms-711->dkms-714,24798,24828,20,24798,196.8,198.6,0.378387
2026-05-18T21:00:04.938914,135.330621,dkms-711,dkms-714,dkms-711->dkms-714,25916,25970,0,25916,223.6,281.7,0.395447
2026-05-18T21:00:09.939493,140.331200,dkms-711,dkms-714,dkms-711->dkms-714,27000,27021,20,27000,216.8,198.6,0.411987
2026-05-18T21:00:14.938998,145.330705,dkms-711,dkms-714,dkms-711->dkms-714,28003,28025,0,28003,200.6,198.6,0.427292
2026-05-18T21:00:19.938517,150.330224,dkms-711,dkms-714,dkms-711->dkms-714,28988,29008,0,28988,197.0,198.6,0.442322
2026-05-18T21:00:24.938953,155.330660,dkms-711,dkms-714,dkms-711->dkms-714,29992,30012,0,29992,200.8,198.6,0.457642
2026-05-18T21:00:29.939509,160.331216,dkms-711,dkms-714,dkms-711->dkms-714,30976,30995,0,30976,196.8,198.6,0.472656
2026-05-18T21:00:34.938600,165.330307,dkms-711,dkms-714,dkms-711->dkms-714,31979,31999,0,31979,200.6,198.6,0.487961
2026-05-18T21:00:39.939095,170.330802,dkms-711,dkms-714,dkms-711->dkms-714,32993,33073,0,32993,202.8,99.3,0.503433
2026-05-18T21:00:44.939142,175.330849,dkms-711,dkms-714,dkms-711->dkms-714,33858,33986,0,33858,173.0,198.6,0.516632
2026-05-18T21:00:49.938772,180.330479,dkms-711,dkms-714,dkms-711->dkms-714,34841,34969,0,34841,196.6,198.6,0.531631
2026-05-18T21:00:54.938527,185.330234,dkms-711,dkms-714,dkms-711->dkms-714,35830,35972,14,35830,197.8,198.6,0.546722
2026-05-18T21:00:59.939514,190.331221,dkms-711,dkms-714,dkms-711->dkms-714,36828,36956,0,36828,199.6,198.6,0.561951
2026-05-18T21:01:04.939544,195.331251,dkms-711,dkms-714,dkms-711->dkms-714,37811,37939,20,37811,196.6,198.6,0.576950
2026-05-18T21:01:09.938711,200.330418,dkms-711,dkms-714,dkms-711->dkms-714,38814,38942,0,38814,200.6,198.6,0.592255
2026-05-18T21:01:14.939016,205.330723,dkms-711,dkms-714,dkms-711->dkms-714,39797,39925,20,39797,196.6,198.6,0.607254
2026-05-18T21:01:19.938953,210.330660,dkms-711,dkms-714,dkms-711->dkms-714,40801,40929,0,40801,200.8,198.6,0.622574
2026-05-18T21:01:24.938733,215.330440,dkms-711,dkms-714,dkms-711->dkms-714,41784,41912,21,41784,196.6,198.6,0.637573
2026-05-18T21:01:29.938760,220.330467,dkms-711,dkms-714,dkms-711->dkms-714,42788,42916,0,42788,200.8,198.6,0.652893
2026-05-18T21:01:34.938592,225.330299,dkms-711,dkms-714,dkms-711->dkms-714,43772,43900,20,43772,196.8,198.6,0.667908
