src,peer,commodity_id,samples,max_enc,enc_at_sat,t_first_emit,t_saturated,t_observed_seconds,t_theoretical_seconds,ratio,saturated,theory_rate_keys_per_s,last_sdn_rate_keys_per_s,last_observed_keys_per_s
dkms-711,dkms-714,dkms-711->dkms-714,121,62282,62282,2026-05-18T20:57:54.938616,2026-05-18T21:03:09.939055,315.000439,225.0134612382069,1.3999181971896775,True,291.2536860655699,0.0,0.0
dkms-711,dkms-717,dkms-711->dkms-717,121,62565,62565,2026-05-18T20:57:54.938637,2026-05-18T21:03:09.939079,315.000442,412.52467893671275,0.7635917511939344,True,158.86564694485628,0.0,0.0
dkms-711,dkms-720,dkms-711->dkms-720,121,62594,62594,2026-05-18T20:57:54.938642,2026-05-18T20:59:44.939090,110.000448,101.02645198450107,1.0888281815229508,True,648.7013916914966,0.0,0.0
dkms-711,dkms-723,dkms-711->dkms-723,121,29914,,2026-05-18T20:57:54.938646,,,1320.0789725974807,,False,49.645514670267595,49.6,50.2
dkms-711,dkms-726,dkms-711->dkms-726,121,29914,,2026-05-18T20:57:54.938650,,,1320.0789725974807,,False,49.645514670267595,49.6,50.2
dkms-711,dkms-729,dkms-711->dkms-729,121,29914,,2026-05-18T20:58:04.938992,,,1320.0789725974807,,False,49.645514670267595,49.6,50.2
dkms-711,dkms-732,dkms-711->dkms-732,121,29914,,2026-05-18T20:57:54.938658,,,1320.0789725974807,,False,49.645514670267595,49.6,50.2
dkms-714,dkms-711,dkms-714->dkms-711,123,62811,62811,2026-05-18T20:57:54.619246,2026-05-18T21:03:09.619486,315.00024,225.0134612382069,1.3999173127981444,True,291.2536860655699,0.0,0.0
dkms-714,dkms-717,dkms-714->dkms-717,123,62359,62359,2026-05-18T20:57:54.619267,2026-05-18T21:03:04.619299,310.000032,412.52467893671275,0.7514702703339561,True,158.86564694485628,0.0,0.0
dkms-714,dkms-720,dkms-714->dkms-720,123,62403,62403,2026-05-18T20:58:04.619263,2026-05-18T21:03:09.619518,305.000255,225.0134612382069,1.3554755938673213,True,291.2536860655699,0.0,0.0
dkms-714,dkms-723,dkms-714->dkms-723,123,30169,,2026-05-18T20:58:04.619267,,,1320.0789725974807,,False,49.645514670267595,49.6,50.2
dkms-714,dkms-726,dkms-714->dkms-726,123,30170,,2026-05-18T20:57:54.619284,,,1320.0789725974807,,False,49.645514670267595,49.6,49.2
dkms-714,dkms-729,dkms-714->dkms-729,123,30164,,2026-05-18T20:58:04.619276,,,1320.0789725974807,,False,49.645514670267595,49.6,49.2
dkms-714,dkms-732,dkms-714->dkms-732,123,30160,,2026-05-18T20:57:54.619293,,,1320.0789725974807,,False,49.645514670267595,49.6,49.2
dkms-717,dkms-711,dkms-717->dkms-711,123,62848,62848,2026-05-18T20:58:04.607759,2026-05-18T21:03:09.608590,305.000831,412.52467893671275,0.7393517202077298,True,158.86564694485628,0.0,0.0
