commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-622->dkms-625,dkms-622,dkms-625,23.711291,2763.915349
dkms-622->dkms-628,dkms-622,dkms-628,30.683704,2135.856856
dkms-622->dkms-631,dkms-622,dkms-631,40.063905,1635.786635
dkms-622->dkms-634,dkms-622,dkms-634,23.711291,2763.915349
dkms-622->dkms-637,dkms-622,dkms-637,40.063905,1635.786635
dkms-622->dkms-640,dkms-622,dkms-640,106.969962,612.657972
dkms-622->dkms-643,dkms-622,dkms-643,23.711291,2763.915349
dkms-622->dkms-646,dkms-622,dkms-646,23.711291,2763.915349
dkms-622->dkms-649,dkms-622,dkms-649,30.020435,2183.046303
dkms-622->dkms-652,dkms-622,dkms-652,30.020435,2183.046303
dkms-622->dkms-655,dkms-622,dkms-655,29.419564,2227.633266
dkms-622->dkms-658,dkms-622,dkms-658,40.063905,1635.786635
dkms-622->dkms-661,dkms-622,dkms-661,48.715865,1345.270180
dkms-622->dkms-664,dkms-622,dkms-664,29.419564,2227.633266
dkms-622->dkms-667,dkms-622,dkms-667,30.683704,2135.856856
dkms-622->dkms-670,dkms-622,dkms-670,93.067082,704.180239
dkms-622->dkms-673,dkms-622,dkms-673,30.683704,2135.856856
dkms-622->dkms-676,dkms-622,dkms-676,48.715865,1345.270180
dkms-622->dkms-679,dkms-622,dkms-679,23.711291,2763.915349
dkms-625->dkms-622,dkms-625,dkms-622,23.711291,2763.915349
dkms-625->dkms-628,dkms-625,dkms-628,41.993613,1560.618261
dkms-625->dkms-631,dkms-625,dkms-631,23.711291,2763.915349
dkms-625->dkms-634,dkms-625,dkms-634,116.606429,562.027332
dkms-625->dkms-637,dkms-625,dkms-637,23.711291,2763.915349
dkms-625->dkms-640,dkms-625,dkms-640,23.711291,2763.915349
dkms-625->dkms-643,dkms-625,dkms-643,116.606429,562.027332
dkms-625->dkms-646,dkms-625,dkms-646,499.904489,131.097042
dkms-625->dkms-649,dkms-625,dkms-649,32.061085,2044.097995
dkms-625->dkms-652,dkms-625,dkms-652,32.061085,2044.097995
dkms-625->dkms-655,dkms-625,dkms-655,41.993613,1560.618261
dkms-625->dkms-658,dkms-625,dkms-658,23.711291,2763.915349
dkms-625->dkms-661,dkms-625,dkms-661,23.711291,2763.915349
dkms-625->dkms-664,dkms-625,dkms-664,41.993613,1560.618261
dkms-625->dkms-667,dkms-625,dkms-667,23.711291,2763.915349
dkms-625->dkms-670,dkms-625,dkms-670,23.711291,2763.915349
dkms-625->dkms-673,dkms-625,dkms-673,23.711291,2763.915349
dkms-625->dkms-676,dkms-625,dkms-676,50.393066,1300.496380
dkms-625->dkms-679,dkms-625,dkms-679,113.237590,578.747747
dkms-628->dkms-622,dkms-628,dkms-622,30.683704,2135.856856
dkms-628->dkms-625,dkms-628,dkms-625,41.993613,1560.618261
dkms-628->dkms-631,dkms-628,dkms-631,571.026264,114.768802
dkms-628->dkms-634,dkms-628,dkms-634,41.993613,1560.618261
dkms-628->dkms-637,dkms-628,dkms-637,65.625404,998.637659
dkms-628->dkms-640,dkms-628,dkms-640,30.683704,2135.856856
dkms-628->dkms-643,dkms-628,dkms-643,41.993613,1560.618261
dkms-628->dkms-646,dkms-628,dkms-646,29.419564,2227.633266
dkms-628->dkms-649,dkms-628,dkms-649,29.419564,2227.633266
dkms-628->dkms-652,dkms-628,dkms-652,29.419564,2227.633266
dkms-628->dkms-655,dkms-628,dkms-655,65.625404,998.637659
dkms-628->dkms-658,dkms-628,dkms-658,100.115097,654.606564
dkms-628->dkms-661,dkms-628,dkms-661,30.683704,2135.856856
dkms-628->dkms-664,dkms-628,dkms-664,65.625404,998.637659
dkms-628->dkms-667,dkms-628,dkms-667,157.680476,415.625331
dkms-628->dkms-670,dkms-628,dkms-670,41.993613,1560.618261
dkms-628->dkms-673,dkms-628,dkms-673,303.919859,215.635793
dkms-628->dkms-676,dkms-628,dkms-676,29.419564,2227.633266
dkms-628->dkms-679,dkms-628,dkms-679,41.993613,1560.618261
dkms-631->dkms-622,dkms-631,dkms-622,40.063905,1635.786635
dkms-631->dkms-625,dkms-631,dkms-625,23.711291,2763.915349
dkms-631->dkms-628,dkms-631,dkms-628,571.026264,114.768802
dkms-631->dkms-634,dkms-631,dkms-634,23.711291,2763.915349
dkms-631->dkms-637,dkms-631,dkms-637,100.115097,654.606564
dkms-631->dkms-640,dkms-631,dkms-640,40.063905,1635.786635
dkms-631->dkms-643,dkms-631,dkms-643,23.711291,2763.915349
dkms-631->dkms-646,dkms-631,dkms-646,30.020435,2183.046303
dkms-631->dkms-649,dkms-631,dkms-649,30.020435,2183.046303
dkms-631->dkms-652,dkms-631,dkms-652,30.020435,2183.046303
dkms-631->dkms-655,dkms-631,dkms-655,65.625404,998.637659
dkms-631->dkms-658,dkms-631,dkms-658,100.115097,654.606564
dkms-631->dkms-661,dkms-631,dkms-661,40.063905,1635.786635
dkms-631->dkms-664,dkms-631,dkms-664,65.625404,998.637659
dkms-631->dkms-667,dkms-631,dkms-667,91.262895,718.101262
dkms-631->dkms-670,dkms-631,dkms-670,40.063905,1635.786635
dkms-631->dkms-673,dkms-631,dkms-673,91.262895,718.101262
dkms-631->dkms-676,dkms-631,dkms-676,30.020435,2183.046303
dkms-631->dkms-679,dkms-631,dkms-679,41.993613,1560.618261
dkms-634->dkms-622,dkms-634,dkms-622,23.711291,2763.915349
dkms-634->dkms-625,dkms-634,dkms-625,116.606429,562.027332
dkms-634->dkms-628,dkms-634,dkms-628,41.993613,1560.618261
dkms-634->dkms-631,dkms-634,dkms-631,23.711291,2763.915349
dkms-634->dkms-637,dkms-634,dkms-637,23.711291,2763.915349
dkms-634->dkms-640,dkms-634,dkms-640,23.711291,2763.915349
dkms-634->dkms-643,dkms-634,dkms-643,140.317719,467.054341
dkms-634->dkms-646,dkms-634,dkms-646,116.606429,562.027332
dkms-634->dkms-649,dkms-634,dkms-649,23.711291,2763.915349
dkms-634->dkms-652,dkms-634,dkms-652,23.711291,2763.915349
dkms-634->dkms-655,dkms-634,dkms-655,41.993613,1560.618261
dkms-634->dkms-658,dkms-634,dkms-658,23.711291,2763.915349
