t_log_iso,t_seconds,src,peer,commodity_id,enc,dec,ack_pending,emit_total,observed_keys_per_s,sdn_rate_keys_per_s,fill_ratio
2026-05-18T20:44:10.677375,0.010711,dkms-683,dkms-686,dkms-683->dkms-686,0,0,0,0,0.0,79.4,0.000000
2026-05-18T20:44:15.677155,5.010491,dkms-683,dkms-686,dkms-683->dkms-686,0,0,0,0,0.0,79.4,0.000000
2026-05-18T20:44:20.677610,10.010946,dkms-683,dkms-686,dkms-683->dkms-686,0,0,0,0,0.0,79.4,0.000000
2026-05-18T20:44:25.677437,15.010773,dkms-683,dkms-686,dkms-683->dkms-686,0,121,120,0,0.0,79.4,0.000000
2026-05-18T20:44:30.677956,20.011292,dkms-683,dkms-686,dkms-683->dkms-686,0,522,521,0,0.0,79.4,0.000000
2026-05-18T20:44:35.677871,25.011207,dkms-683,dkms-686,dkms-683->dkms-686,0,915,915,0,0.0,79.4,0.000000
2026-05-18T20:44:40.677294,30.010630,dkms-683,dkms-686,dkms-683->dkms-686,0,1317,1316,0,0.0,79.4,0.000000
2026-05-18T20:44:45.677182,35.010518,dkms-683,dkms-686,dkms-683->dkms-686,0,1710,1709,0,0.0,79.4,0.000000
2026-05-18T20:44:50.677033,40.010369,dkms-683,dkms-686,dkms-683->dkms-686,0,2111,2110,0,0.0,79.4,0.000000
2026-05-18T20:44:55.677599,45.010935,dkms-683,dkms-686,dkms-683->dkms-686,0,2505,2456,0,0.0,79.4,0.000000
2026-05-18T20:45:00.677088,50.010424,dkms-683,dkms-686,dkms-683->dkms-686,0,2906,2464,0,0.0,79.4,0.000000
2026-05-18T20:45:05.677663,55.010999,dkms-683,dkms-686,dkms-683->dkms-686,0,3299,2457,0,0.0,79.4,0.000000
2026-05-18T20:45:10.677318,60.010654,dkms-683,dkms-686,dkms-683->dkms-686,0,3701,2464,0,0.0,79.4,0.000000
2026-05-18T20:45:15.677335,65.010671,dkms-683,dkms-686,dkms-683->dkms-686,0,4094,2456,0,0.0,79.4,0.000000
2026-05-18T20:45:20.677858,70.011194,dkms-683,dkms-686,dkms-683->dkms-686,0,4496,2456,0,0.0,79.4,0.000000
2026-05-18T20:45:25.677054,75.010390,dkms-683,dkms-686,dkms-683->dkms-686,0,4889,2456,0,0.0,79.4,0.000000
2026-05-18T20:45:30.676994,80.010330,dkms-683,dkms-686,dkms-683->dkms-686,0,5290,2449,0,0.0,79.4,0.000000
2026-05-18T20:45:35.677368,85.010704,dkms-683,dkms-686,dkms-683->dkms-686,0,5722,2495,0,0.0,91.4,0.000000
2026-05-18T20:45:40.676992,90.010328,dkms-683,dkms-686,dkms-683->dkms-686,0,6184,2554,0,0.0,91.4,0.000000
2026-05-18T20:45:45.677202,95.010538,dkms-683,dkms-686,dkms-683->dkms-686,0,6563,2624,0,0.0,101.9,0.000000
2026-05-18T20:45:50.676981,100.010317,dkms-683,dkms-686,dkms-683->dkms-686,0,6614,2749,0,0.0,114.5,0.000000
2026-05-18T20:45:55.677535,105.010871,dkms-683,dkms-686,dkms-683->dkms-686,0,6670,2900,0,0.0,108.8,0.000000
2026-05-18T20:46:00.677963,110.011299,dkms-683,dkms-686,dkms-683->dkms-686,0,6729,3074,0,0.0,116.0,0.000000
