commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-683->dkms-686,dkms-683,dkms-686,79.432823,825.049358
dkms-683->dkms-689,dkms-683,dkms-689,79.432823,825.049358
dkms-683->dkms-692,dkms-683,dkms-692,291.253686,225.013461
dkms-683->dkms-695,dkms-683,dkms-695,79.432823,825.049358
dkms-683->dkms-698,dkms-683,dkms-698,79.432823,825.049358
dkms-683->dkms-701,dkms-683,dkms-701,185.343255,353.592582
dkms-683->dkms-704,dkms-683,dkms-704,79.432823,825.049358
dkms-683->dkms-707,dkms-683,dkms-707,79.432823,825.049358
dkms-686->dkms-683,dkms-686,dkms-683,79.432823,825.049358
dkms-686->dkms-689,dkms-686,dkms-689,79.432823,825.049358
dkms-686->dkms-692,dkms-686,dkms-692,79.432823,825.049358
dkms-686->dkms-695,dkms-686,dkms-695,291.253686,225.013461
dkms-686->dkms-698,dkms-686,dkms-698,79.432823,825.049358
dkms-686->dkms-701,dkms-686,dkms-701,79.432823,825.049358
dkms-686->dkms-704,dkms-686,dkms-704,185.343255,353.592582
dkms-686->dkms-707,dkms-686,dkms-707,79.432823,825.049358
dkms-689->dkms-683,dkms-689,dkms-683,79.432823,825.049358
dkms-689->dkms-686,dkms-689,dkms-686,79.432823,825.049358
dkms-689->dkms-692,dkms-689,dkms-692,79.432823,825.049358
dkms-689->dkms-695,dkms-689,dkms-695,79.432823,825.049358
dkms-689->dkms-698,dkms-689,dkms-698,291.253686,225.013461
dkms-689->dkms-701,dkms-689,dkms-701,79.432823,825.049358
dkms-689->dkms-704,dkms-689,dkms-704,79.432823,825.049358
dkms-689->dkms-707,dkms-689,dkms-707,185.343255,353.592582
dkms-692->dkms-683,dkms-692,dkms-683,291.253686,225.013461
dkms-692->dkms-686,dkms-692,dkms-686,79.432823,825.049358
dkms-692->dkms-689,dkms-692,dkms-689,79.432823,825.049358
dkms-692->dkms-695,dkms-692,dkms-695,132.388039,495.029615
dkms-692->dkms-698,dkms-692,dkms-698,132.388039,495.029615
dkms-692->dkms-701,dkms-692,dkms-701,185.343255,353.592582
dkms-692->dkms-704,dkms-692,dkms-704,132.388039,495.029615
dkms-692->dkms-707,dkms-692,dkms-707,132.388039,495.029615
dkms-695->dkms-683,dkms-695,dkms-683,79.432823,825.049358
dkms-695->dkms-686,dkms-695,dkms-686,291.253686,225.013461
dkms-695->dkms-689,dkms-695,dkms-689,79.432823,825.049358
dkms-695->dkms-692,dkms-695,dkms-692,132.388039,495.029615
dkms-695->dkms-698,dkms-695,dkms-698,132.388039,495.029615
dkms-695->dkms-701,dkms-695,dkms-701,132.388039,495.029615
dkms-695->dkms-704,dkms-695,dkms-704,185.343255,353.592582
dkms-695->dkms-707,dkms-695,dkms-707,132.388039,495.029615
dkms-698->dkms-683,dkms-698,dkms-683,79.432823,825.049358
dkms-698->dkms-686,dkms-698,dkms-686,79.432823,825.049358
dkms-698->dkms-689,dkms-698,dkms-689,291.253686,225.013461
dkms-698->dkms-692,dkms-698,dkms-692,132.388039,495.029615
dkms-698->dkms-695,dkms-698,dkms-695,132.388039,495.029615
dkms-698->dkms-701,dkms-698,dkms-701,132.388039,495.029615
dkms-698->dkms-704,dkms-698,dkms-704,132.388039,495.029615
dkms-698->dkms-707,dkms-698,dkms-707,185.343255,353.592582
dkms-701->dkms-683,dkms-701,dkms-683,185.343255,353.592582
dkms-701->dkms-686,dkms-701,dkms-686,79.432823,825.049358
dkms-701->dkms-689,dkms-701,dkms-689,79.432823,825.049358
dkms-701->dkms-692,dkms-701,dkms-692,185.343255,353.592582
dkms-701->dkms-695,dkms-701,dkms-695,132.388039,495.029615
dkms-701->dkms-698,dkms-701,dkms-698,132.388039,495.029615
dkms-701->dkms-704,dkms-701,dkms-704,397.164117,165.009872
dkms-701->dkms-707,dkms-701,dkms-707,397.164117,165.009872
dkms-704->dkms-683,dkms-704,dkms-683,79.432823,825.049358
dkms-704->dkms-686,dkms-704,dkms-686,185.343255,353.592582
dkms-704->dkms-689,dkms-704,dkms-689,79.432823,825.049358
dkms-704->dkms-692,dkms-704,dkms-692,132.388039,495.029615
dkms-704->dkms-695,dkms-704,dkms-695,185.343255,353.592582
dkms-704->dkms-698,dkms-704,dkms-698,132.388039,495.029615
dkms-704->dkms-701,dkms-704,dkms-701,397.164117,165.009872
dkms-704->dkms-707,dkms-704,dkms-707,397.164117,165.009872
dkms-707->dkms-683,dkms-707,dkms-683,79.432823,825.049358
dkms-707->dkms-686,dkms-707,dkms-686,79.432823,825.049358
dkms-707->dkms-689,dkms-707,dkms-689,185.343255,353.592582
dkms-707->dkms-692,dkms-707,dkms-692,132.388039,495.029615
dkms-707->dkms-695,dkms-707,dkms-695,132.388039,495.029615
dkms-707->dkms-698,dkms-707,dkms-698,185.343255,353.592582
dkms-707->dkms-701,dkms-707,dkms-701,397.164117,165.009872
dkms-707->dkms-704,dkms-707,dkms-704,397.164117,165.009872
